,Tweet Posted Time (UTC),Tweet Content,Tweet Location
1843,06/03/2020,Stay safe & hygienic everyone!!! #coronavirus #covid19 #coronavirusoutbreak #washhand #soap #hygiene #mask #staysafe #stayclean #usesoap #antibacterialsoap #antibacterialshampoo #remedy #soapbar #cosmicisland @â¦ https://www.instagram.com/p/B9Y648vHP2T/?igshid=he9g6kwrvvus,Andaman and Nicobar Islands
1844,06/03/2020,Stay safe & hygienic everyone!!! #coronavirus #covid19 #coronavirusoutbreak #washhand #soap #hygiene #mask #staysafe #stayclean #usesoap #antibacterialsoap #antibacterialshampoo #remedy #soapbar #cosmicisland @â¦ https://www.instagram.com/p/B9Y648vHP2T/?igshid=he9g6kwrvvus,Andaman and Nicobar Islands
40966,23/03/2020,We would like to extend our gratitude to all the healthcare & frontline workers in India and around the world who are keeping us safe from #coronavirus . #besafe #behealthy &amp; #stayathome !!! â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
45953,23/03/2020,We would like to extend our gratitude to all the healthcare & frontline workers in India and around the world who are keeping us safe from #coronavirus . #besafe #behealthy &amp; #stayathome !!! â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
57491,25/03/2020,People being punished with sit-ups in the middle of the streets  who are found to be flouting the #coronavirus #lockdown directives. #besafe #behealthy &amp; #stayathome !!! (In pic. Lighthouse Junction  Port Blair) â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
59312,25/03/2020,People being punished with sit-ups in the middle of the streets  who are found to be flouting the #coronavirus #lockdown directives. #besafe #behealthy &amp; #stayathome !!! (In pic. Lighthouse Junction  Port Blair) â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
62054,25/03/2020,People being punished with sit-ups in the middle of the streets  who are found to be flouting the #coronavirus #lockdown directives. #besafe #behealthy &amp; #stayathome !!! (In pic. Lighthouse Junction  Port Blair) â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
62055,25/03/2020,People being punished with sit-ups in the middle of the streets  who are found to be flouting the #coronavirus #lockdown directives. #besafe #behealthy &amp; #stayathome !!! (In pic. Lighthouse Junction  Port Blair) â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
65951,26/03/2020,One reported of Covid positive case in andaman and Nicobar island. Please stay at home dear people. Please refer link from our responsible admin. https://twitter.com/ChetanSanghi/status/1243035132002471938?s=09 #zeenews #COVID2019 #ABPnews #aajtak #PMModiOnCorona â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
68421,26/03/2020,One reported of Covid positive case in andaman and Nicobar island. Please stay at home dear people. Please refer link from our responsible admin. https://twitter.com/ChetanSanghi/status/1243035132002471938?s=09 #zeenews #COVID2019 #ABPnews #aajtak #PMModiOnCorona â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
78350,28/03/2020,Small donation from my side to fight COVID 19#PMCaresFund â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
80950,28/03/2020,Small donation from my side to fight COVID 19#PMCaresFund â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
83046,29/03/2020,At andamans  GB pant (govt) hospital has refused to treat patients other than #COVID19. The question is what about the other patients? Physiotherapist  homeopathy  other allopathy hospitals and clinics are forced to shut down. #AskZee @ShashiTharoor @narendramodi @PMOIndia â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
84836,29/03/2020,U can't dream of an Island of your own...so stay at Home. #stayhome #covid_19 @Red Skin Island https://www.instagram.com/p/B-TiabNJT4FbMFtR5oS56-wcraO8iZX63QIHZE0/?igshid=4eex0zi5t6xz,Andaman and Nicobar Islands
87294,29/03/2020,U can't dream of an Island of your own...so stay at Home. #stayhome #covid_19 @Red Skin Island https://www.instagram.com/p/B-TiabNJT4FbMFtR5oS56-wcraO8iZX63QIHZE0/?igshid=4eex0zi5t6xz,Andaman and Nicobar Islands
94566,31/03/2020,Quarantine  Isolation and Social Distancing. Island life is always like this. #covid19pandemic #covid19 #pandemictimes #mundapahar #andamannicobarislands #andamantourism #landscape #landscapephotographerâ¦ https://www.instagram.com/p/B-aF05bgfS-/?igshid=l13yfoctjpke,Andaman and Nicobar Islands
96101,31/03/2020,My preliminary donation to Care COVID 19 ,Andaman and Nicobar Islands
97770,31/03/2020,My preliminary donation to Care COVID 19 ,Andaman and Nicobar Islands
112531,03/04/2020,#lockdown @Port Blair https://www.instagram.com/p/B-iHlLqHAFt/?igshid=1cu3acxdd6htg,Andaman and Nicobar Islands
115285,03/04/2020,#lockdown @Port Blair https://www.instagram.com/p/B-iHlLqHAFt/?igshid=1cu3acxdd6htg,Andaman and Nicobar Islands
134654,07/04/2020,Andaman:- *rains 360/365 days* *lockdown starts* Andaman:- â at Port Blair Port,Andaman and Nicobar Islands
137220,07/04/2020,Andaman:- *rains 360/365 days* *lockdown starts* Andaman:- â at Port Blair Port,Andaman and Nicobar Islands
144168,09/04/2020,#repost #maskindia #maskindiacampaign @island_cosmic ã»ã»ã» I always preferred using a mask to protect myself from the pollution even before the #pandemic #covid19. . I wear a mask before stepping out of my house evenâ¦ https://www.instagram.com/p/B-wXz6Knv_u/?igshid=ep0xxt7mxpoj,Andaman and Nicobar Islands
159969,12/04/2020,Evening snack prepared by my brother and his betterhalf. #lockdown #puchka #paanipuri #homemade #rooftopfun #covid19 @Aberdeen Bazaar https://www.instagram.com/p/B-3sjN3nUmj/?igshid=162nf95yqxtx,Andaman and Nicobar Islands
161269,12/04/2020,Evening snack prepared by my brother and his betterhalf. #lockdown #puchka #paanipuri #homemade #rooftopfun #covid19 @Aberdeen Bazaar https://www.instagram.com/p/B-3sjN3nUmj/?igshid=162nf95yqxtx,Andaman and Nicobar Islands
163927,12/04/2020,Evening snack prepared by my brother and his betterhalf. #lockdown #puchka #paanipuri #homemade #rooftopfun #covid19 @Aberdeen Bazaar https://www.instagram.com/p/B-3sjN3nUmj/?igshid=162nf95yqxtx,Andaman and Nicobar Islands
170252,14/04/2020,Made by Chef Rehaltash(Mybrother)#lockdown #paavbhaji #dinner #homemadebhaji #covid19 @Aberdeen Bazaar https://www.instagram.com/p/B-90dnXn36l/?igshid=duz21fkyfyql,Andaman and Nicobar Islands
171690,14/04/2020,Made by Chef Rehaltash(Mybrother)#lockdown #paavbhaji #dinner #homemadebhaji #covid19 @Aberdeen Bazaar https://www.instagram.com/p/B-90dnXn36l/?igshid=duz21fkyfyql,Andaman and Nicobar Islands
171691,14/04/2020,It has been decided to extend the #Lockdown till 3rd May @narendramodi @PMOIndia @chitraaum @kamboj_anita @Kumkum26 @RubikaLiyaquat @anjanaomkashyap #StayHomeStaySafe â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
175492,14/04/2020,Made by Chef Rehaltash(Mybrother)#lockdown #paavbhaji #dinner #homemadebhaji #covid19 @Aberdeen Bazaar https://www.instagram.com/p/B-90dnXn36l/?igshid=duz21fkyfyql,Andaman and Nicobar Islands
175493,14/04/2020,It has been decided to extend the #Lockdown till 3rd May @narendramodi @PMOIndia @chitraaum @kamboj_anita @Kumkum26 @RubikaLiyaquat @anjanaomkashyap #StayHomeStaySafe â at Andaman &amp; Nicobar Islands,Andaman and Nicobar Islands
177758,15/04/2020,First rain of the season.Rain soaked #AberdeenBazar.Hope it rains enough to fill our reservoirs. #Rain #Lockdown #covid19 #AndamanFightsWaterScarcity #SaveWater #stayhomestaysafe #weshallovercome @Aberdeen Bazaar https://www.instagram.com/p/B-_84KJnASa/?igshid=688kpdoox41y,Andaman and Nicobar Islands
178878,15/04/2020,First rain of the season.Rain soaked #AberdeenBazar.Hope it rains enough to fill our reservoirs. #Rain #Lockdown #covid19 #AndamanFightsWaterScarcity #SaveWater #stayhomestaysafe #weshallovercome @Aberdeen Bazaar https://www.instagram.com/p/B-_84KJnASa/?igshid=688kpdoox41y,Andaman and Nicobar Islands
181228,15/04/2020,First rain of the season.Rain soaked #AberdeenBazar.Hope it rains enough to fill our reservoirs. #Rain #Lockdown #covid19 #AndamanFightsWaterScarcity #SaveWater #stayhomestaysafe #weshallovercome @Aberdeen Bazaar https://www.instagram.com/p/B-_84KJnASa/?igshid=688kpdoox41y,Andaman and Nicobar Islands
211702,22/04/2020,The other face of PBMC PBMC in colabration with chicken vendors initiated to feed stray dogs in D/farm D/gunj & Bukshabad areas Stray dogs depend on leftover food frm resturnts/hotls. Due to COVID19 all eatries r shut down PBMC appeals citizens to feed stray dogs nearby homes ,Andaman and Nicobar Islands
211703,22/04/2020,Billions of bilious blue blistering barnacles in a thundering typhoon! One more positive case Total active positives now 7 in the isles Stay safe everyone #COVID19 #AndamanFightsCOVID19,Andaman and Nicobar Islands
211704,22/04/2020,The person standing next to you may be infected and he himself may not know. Please be at home and donât venture out unnecessarily. #StayHomeStaySafe #COVID19 ,Andaman and Nicobar Islands
211705,22/04/2020,As we continue to confront the unprecedented challenges posed by #COVID19  on this #WorldEarthDay  let us unite from our homes and pledge our commitment to protect the environment for present and future generations. #StayAtHome #IndiaFightsCorona #AndamanFightsCOVID19,Andaman and Nicobar Islands
217190,23/04/2020,Spitting in open/public spaces after/without eating pan masala  gutka etc. during/otherwise covid19 should be made a punishable offence with hefty fine on the offenders.,Andaman and Nicobar Islands
