,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,01/03/2020,Why .Indians to prayer Iran a polluted http://person.is Not Allowed After taking buffalo Dog pig eaters Close.your.chapter.b.n.jha.Coronavirus: Sule requests EAM to rescue Indians in Iran ,Bihar
752,04/03/2020,Corona virus is less dangerous than you ...you have to realise this,Bihar
753,04/03/2020,coronavirus also entered in india and spreading across the world ,Bihar
754,04/03/2020,be savdhan and be carefull to fight against coronavirus ,Bihar
1388,05/03/2020,@rsprasad As Minister of #Postal_Department Also infected of #CoronaVirus. So in his tenure also intervened by @rashtrapatibhvn @PMOIndia @MHAIndia @BiharCMOffice @CVCIndia @cicindia His @IndiaPostOffice #SecretaryPost @pmgmuzaffarpur Ignoring truth after,Bihar
1389,05/03/2020,Now days disease is also made in china in all over world #Corinnavirus #COVID19 #coronavirusinindia,Bihar
1814,06/03/2020,#Show4All R The #Indian_Judiciary_Head not only 4 #Biased . The Great #Joking by #CJI_Juridiction r not #dangerous In #International_Judiciary_Pattern Given by @CIJ_ICJ @IntlCrimCourt @UNGeneva . Only Ignoring @Fact R not #Corona_Virus for #Indian_Justice_System . @Trial,Bihar
2173,07/03/2020,Nowadays  the prevalence of corona virus has become so much that people are starting to put on Max but cannot wear a helmet during a motorcycle trip.,Bihar
2174,07/03/2020,@irctceastzone i am travelling in vaishali sf exp train no 12554..to protect us from getting infected by corona virus they provided us hand sanitizer with lunch and dinner...great work @irctceastzone .,Bihar
2175,07/03/2020, #CoronaVirus scare #Pre-#Holi dull phase #Examination period Yet  #Baaghi3 takes a big start on Day 1... Emerges biggest opener of 2020 [so far]... Fifth film of #TigerShroff to open in double digits... Single screens excel  plexes decent... Fri â¹ 17.50 cr. #India biz.,Bihar
2176,07/03/2020,I personally want to tweet @narendramodi ji to not to take lightly to #COVID19. Itâs only matter of time and so far what should be the first to give information to slum dwellers they shall probably die in mass and they shall possibly make uncontrollable the whole issues,Bihar
2721,09/03/2020,These people who come from #Covid19 infected area and do not volunteer information of their journey are very selfish and should be triad as a criminal. Typical #Indian Mentality to #Lie and #if I am dying shall take ten with me.,Bihar
3875,12/03/2020,The number of new coronavirus cases in India has jumped to 62... But do you know how many people die in India every year due to hunger and poverty...??? ,Bihar
3876,12/03/2020,à¥ ! Follow these simple steps to avoid spreading of Corona Virusâ¦ https://youtu.be/PTaeZggiMrM via NaMo App,Bihar
3877,12/03/2020,Madam  First Activate Such #Novel_Corona_Virus In Your #Govt Also with @PMOIndia @MHAIndia @IndiaPostOffice . Fully Bathing in #Corruption_Hub . Such #Novel_Corona_Virus Dangerous than #Judicial_Democracy Of #India,Bihar
3878,12/03/2020,#CoronaVirusUpdate: Here's a list of all #COVID19 Helpline numbers from various States/UTs. Please keep handy and share with others also. #SwasthaBharat #HelpUsToHelpYou,Bihar
4711,13/03/2020,Do you think coronavirus pandemic will trigger recession in world economy? @UN @WHO @WorldBank @RBI @TheOfficialSBI @centralbank_in #CoronavirusOutbreak #CoronavirusPandemic,Bihar
4712,13/03/2020,@NitishKumar Hon'able sir  Corona virus is spreading all over the country. DEO Sitamarhi has closed schools till 31st March only for students. Will tea cheers not be suffered from Corona virus? Please  think over.,Bihar
4713,13/03/2020,Requesting Government & Officials to Extend PANCHAYAT BYE 2020 ELECTION due to CORONA VIRUS #COVID2019 Extend This Date Because Gathering Can Cause Virus Outbreak.Please Think On it Seriously @NitishKumar @muzaffarpurlive @SushilModi @CEOBihar @ECISVEEP,Bihar
4714,13/03/2020,@sscchief postpone CHSL exam due to Coronavirus,Bihar
4715,13/03/2020, Announcement : #VIVOIPL suspended till 15th April 2020 as a precautionary measure against the ongoing Novel Corona Virus (COVID-19) situations. #CSK #IPL2020,Bihar
4716,13/03/2020,Say No to Panic  Say Yes to Precautions. The Government is fully vigilant about the situation due to COVID-19 Novel Coronavirus . Across ministries &amp; states  multiple steps have been proactively taken to ensure safety of all.,Bihar
4717,13/03/2020,#coronavirus As you,Bihar
5606,14/03/2020,Koontz (Wuhan) is getting a lot of attention. In his book  The eyes of darkness page 333  page 353  page 355 and page 366 Dean Koontz has written about an interesting biological weapon Wuhan 400 which resembles coronavirus location in china  here is the text from the page 366 of,Bihar
5607,14/03/2020,Stay protected against #CoronaVirus. Keep yourself informed about the developments  and pass on preventive care information to as many as you can. Hereâs a video by @WHO experts that I found useful. Pls share!,Bihar
5608,14/03/2020,Namaste goes global with Corona Virus..! #NamasteCorona #CoronavirusPandemic #namasteoverhandshake,Bihar
5609,14/03/2020,With increase in coronavirus cases its obvious for any market be it india or other. One can't be assured with the products as we have seen people hoarding sanitizers n making duped ones,Bihar
5610,14/03/2020,necessary arrangements are being made for effective control over the corona virus All Oon't be afraid all of you  avoid rumors  be careful  be cautious. Do not congregate in large groups at one place and avoid going to crowded places.We all have to stop this virus from spreading,Bihar
5611,14/03/2020,If your System also in India Not in position to stop Crime Culture Against #HumanRight. Crime   Fake  Fraud   Torture ignoring is the Culture of #Govt_System . Then Nature invite Such Type #CoronaVirus To Stop #Crime_Against_Humanity Dear #UNChief @PMOIndia @NitishKumar .,Bihar
5732,14/03/2020,Koontz (Wuhan) is getting a lot of attention. In his book  The eyes of darkness page 333  page 353  page 355 and page 366 Dean Koontz has written about an interesting biological weapon Wuhan 400 which resembles coronavirus location in china  here is the text from the page 366 of,Bihar
5733,14/03/2020,Stay protected against #CoronaVirus. Keep yourself informed about the developments  and pass on preventive care information to as many as you can. Hereâs a video by @WHO experts that I found useful. Pls share!,Bihar
