,Tweet Posted Time (UTC),Tweet Content,Tweet Location
23,01/03/2020,How to prevent corona virus? Use cowdung cakes for Holika dahan  &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash  Turmeric etc #AdoptVedicHoliPreventCorona,Dadra and Nagar Haveli
349,03/03/2020,@BCCI @rsprasad @drharshvardhan @HMOIndia @PMOIndia @narendramodi IPL tournament to be cancelled this year as CORONA VIRUS spread in huge public gathering,Dadra and Nagar Haveli
2747,09/03/2020,#ProtectYourself from #coronavirus #spreadawarness,Dadra and Nagar Haveli
3425,11/03/2020,So finally all Burqa wearing people are safe from #coronavirus ??,Dadra and Nagar Haveli
5858,14/03/2020,@nsitharamanoffc @PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be include,Dadra and Nagar Haveli
5859,14/03/2020,@AmitShahOffice @PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be included,Dadra and Nagar Haveli
5860,14/03/2020,@PMOIndia @PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be included to sa,Dadra and Nagar Haveli
5861,14/03/2020,@PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be included to save small b,Dadra and Nagar Haveli
6977,14/03/2020,@nsitharamanoffc @PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be include,Dadra and Nagar Haveli
6978,14/03/2020,@AmitShahOffice @PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be included,Dadra and Nagar Haveli
6979,14/03/2020,@PMOIndia @PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be included to sa,Dadra and Nagar Haveli
6980,14/03/2020,@PMOIndia @AmitShahOffice @nsitharamanoffc looking at the pandemic declared corona virus Govt must put directive to banks to not charge interests on loans for 03-04 Months ahead to help people survive. Loans under 05 Crore must be included to save small b,Dadra and Nagar Haveli
7689,15/03/2020,Due to corona virus temp set 27 don't worry..It's helpful ,Dadra and Nagar Haveli
7690,15/03/2020,@SwetaSinghAT why arenât any news channel showing data of people recovered from Covid19 only showing infected data and Death toll would panic people and stress them.,Dadra and Nagar Haveli
8853,15/03/2020,Due to corona virus temp set 27 don't worry..It's helpful ,Dadra and Nagar Haveli
9588,16/03/2020,US researchers gave the first shot to the first person in a test of an experimental #coronavirus vaccine today - leading off a worldwide hunt for protection even as the pandemic surges #CoronavirusOutbreak #Corona,Dadra and Nagar Haveli
9589,16/03/2020,1 meter distance  and you can stop the corona virus from spreading! #CoronavirusOutbreak #coronavirus ,Dadra and Nagar Haveli
10958,16/03/2020,US researchers gave the first shot to the first person in a test of an experimental #coronavirus vaccine today - leading off a worldwide hunt for protection even as the pandemic surges #CoronavirusOutbreak #Corona,Dadra and Nagar Haveli
10959,16/03/2020,1 meter distance  and you can stop the corona virus from spreading! #CoronavirusOutbreak #coronavirus ,Dadra and Nagar Haveli
11842,17/03/2020,Sir please re use our old steam engine or diesel engine for destroy corona virus on railways by steam... @RailMinIndia @WesternRly @PiyushGoyal @PiyushGoyalOffc @narendramodi @PMOIndia @AmitShah @,Dadra and Nagar Haveli
13484,17/03/2020,Sir please re use our old steam engine or diesel engine for destroy corona virus on railways by steam... @RailMinIndia @WesternRly @PiyushGoyal @PiyushGoyalOffc @narendramodi @PMOIndia @AmitShah @,Dadra and Nagar Haveli
17131,19/03/2020,Is #coronavirus the #SwachhBharatMission 2.0 Making the world a more cleaner and hygienic place to live in A master strategy by @narendramodi Now this is #wahmodijiwah,Dadra and Nagar Haveli
17132,19/03/2020,All things are possible when you believe. #JanataCurfew #coronavirus,Dadra and Nagar Haveli
17133,19/03/2020,@PMOIndia @narendramodi Historic speech by PM Modi sir. No world leader could have influenced the citizens this way. India will make 22nd March a historic day &amp; world will observe PM Modi s great leadership. Salute to you!! #coronavirus #jantacurfew #,Dadra and Nagar Haveli
