,Tweet Posted Time (UTC),Tweet Content,Tweet Location
24,01/03/2020,I don't know what impact does Corona virus made on this company ,Daman and Diu
25,01/03/2020,How to prevent corona virus? Use cowdung cakes for Holika dahan  &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash  Turmeric etc #AdoptVedicHoliPreventCorona,Daman and Diu
350,03/03/2020,@BCCI @rsprasad @drharshvardhan @HMOIndia @PMOIndia @narendramodi IPL tournament to be cancelled this year as CORONA VIRUS spread in huge public gathering,Daman and Diu
1426,05/03/2020,Is it also kills corona virus?? ,Daman and Diu
1427,05/03/2020,Request all news channels not to report any one claiming they have the answer or their products can cure covid19   instead send report proof to ministry of health to deal with Otherwise there will chaos and common public will loose their hard earned money,Daman and Diu
2200,07/03/2020,Holi aane wali hai  Beware of unknown/known potential molestors. you can use coronavirus to avoit it/or visit a old age home. the terrible stories I have heard from my female friends sends down chills to my spine. #AuratAzadiMarch2020,Daman and Diu
2201,07/03/2020,Just 1 case Corona Virus in India and people are crazy for masks. Daily 400 people are died in road crashes &amp; incident and still no craze for Helmets #SafetyFirst #COVID19india,Daman and Diu
2202,07/03/2020,Scared of coronavirus? This #Holi use cowdung cakes for Holika dahan  &amp; be tensionless. #CelebrateHoliInVedicStyle Burning just 2 kg of dry cowdung gives 300 grams of Oxygen. #Bapuji Divya satsang on @SureshChavhanke news channel 6 - 12 March 8 - 8.15 am,Daman and Diu
2504,08/03/2020,During 2018-19 period a total of 35.5 million ppl were infected with Influenza out of which 34.2K people died  why wasnât it hyped as much as Corona Virus?! Maybe bcuz we know more about it than Corona. I know Corona is deadly but itâs mortality rate is low!,Daman and Diu
2748,09/03/2020,#ProtectYourself from #coronavirus #spreadawarness,Daman and Diu
3967,12/03/2020,Reply from HR- Thanks for the information. We are sending team of Doctors to your place for check up . If coronavirus is detected then you will be quarantined for 14 days at your home with paid leave . If not detected then all charges for arranging the Doctors visit shall 1/2,Daman and Diu
3968,12/03/2020,@MoHFW_INDIA #CODVID19 #ivr #India #cellphone #service_provider #ideacellular Pls stop Corona Virus IVR multiple times from mobile. I am agree that this is to give precautions but in a day once is okay.,Daman and Diu
3969,12/03/2020,Example #coronavirus #ChinaCoronaVirus,Daman and Diu
5862,14/03/2020,can the asteroids and coronavirus plan it together and make sure that not a single dick be left alive.,Daman and Diu
5863,14/03/2020,He is afraid now people wont watch his islamic channel for corona virus also bcoz whatever he say will be ruining govt efforts to spread panic and people will have positive information,Daman and Diu
5864,14/03/2020,Countries were gunning to become nuclear powers & starting WW 3 almost. Then suddenly  a micro-organism brought the whole world down to its knees. Now  countries are fighting a pandemic together  sharing resources  medical knowhow & more. #CoronavirusPandemic #coronavirus,Daman and Diu
5865,14/03/2020,@Vietjetglobal Hi we have cancelled our trip from HKT to BKK PNR no QD2DFJ due to corona virus impact. Please let me know how to claim refund,Daman and Diu
