,Tweet Posted Time (UTC),Tweet Content,Tweet Location
1,01/03/2020,Even death is âMade in Chinaâ now #CoronaVirus,Goa
2,01/03/2020,One of the most widely read  published stories on coronavirus. Great storytelling ,Goa
323,03/03/2020,Novel Coronavirus - This Singapore News channel has setup a live count n keeps changing as and when it gets updated. #coronavirus Zoom n dis will give u an idea where de virus is spreading on daily basis and help you to plan your travel around the world. https://infographics.channelnewsasia.com/wuhan/gmap.html,Goa
324,03/03/2020,"Next month's Coles recipe book  ""How to feed your family with those 20 packs of toilet paper you bought"" #australia #coronavirus",Goa
325,03/03/2020,Quit Playing The Clown: Rahul Gandhi Slams PM Over Coronavirus Response - NDTV ,Goa
326,03/03/2020,PA: Sir  our MLA from Assam says that Gaumutra  gobar may cure coronavirus. Itâs all over social media. PM: I am going off social media with effect from Sunday à¤²à¥ à¤°à¤à¥ à¤¹à¥ à¤à¤¨ à¤²à¥à¤à¥à¤ à¤¨à¥ à¥¤ #ModiJi #ModiQuitsSocialMedia #ModiLeavingTwitter,Goa
756,04/03/2020,BBC News - #Coronavirus: Italy to close all schools as deaths rise ,Goa
757,04/03/2020,How profit makes the fight for a coronavirus vaccine harder ,Goa
758,04/03/2020,As usual @MichaelLobo76 suffering from foot in the mouth syndrome. With so many countries and people at risk  how do you declare Goa safe from coronavirus ?,Goa
759,04/03/2020,With the alarming news of #CoronaVirus making its way in India  is Goa's healthcare infrastructure ready to contain this deadly disease? Being a tourist destination  Goa is at a high risk of #CoronaVirus &amp; the government must be prepared to tackle if it affects our State.,Goa
1390,05/03/2020,@PuneCityPolice @DGPMaharashtra @ThePuneMirror does the corona Virus affecting any Holi parties in Pune.,Goa
1391,05/03/2020,I was telling my mother to becareful of #coronavirus and she started telling me how I should keep my room clean  not eat outside  not eat junk  eat fish. All this to stay away from coronavirus. #coronavirusinindia,Goa
1392,05/03/2020,To ensure smooth and comfortable universal screening of all International passengers  sufficient seating arrangments and writing tables are reorganized at Goa InternationalAirport @AAI_Official @MoCA_GoI @MoHFW_INDIA @DGCAIndia @aairedwr #coronavirus ,Goa
1393,05/03/2020,As a precaution against spreading of #CoronaVirus universal screening of all international passengers is being undertaken at Goa Airport by Airport Health officers. All passengers are requested to cooperate. #CoronaAlert @AAI_Official @MoCA_GoI @MoHFW_INDIA @DGCAIndia,Goa
1394,05/03/2020,If youâre traveling  use this to track the corona virus. ,Goa
1395,05/03/2020,The corona virus when it falls on a metal surface will live for 12hr so washing hands with soap and water well will do the trick. Corona virus when it falls on fabrics stays for 9hr so washing clothes or exposing them to the sun for 2hr is enough for the purpose of killing him.,Goa
1396,05/03/2020,Unicef The corona virus is large in size with a cell diameter of 400-500 micro  so any mask prevents its entry so there is no need to exploit pharmacists to trade with muzzles. The virus does not settle in the air  but on the ground  so it is not transmitted by the air.,Goa
1397,05/03/2020,Has the coronavirus not hit BJP yet ?,Goa
1398,05/03/2020,PMOâs coronavirus meet decides to set up testing facilities in all districts via @htTweets,Goa
1816,06/03/2020,Due to Corona virus no one should be worried. Things are becoming .all right,Goa
1817,06/03/2020,Only few cases of Corona Virus in India and all masks have been sold out. Hundreds of people die every day in India due to head injuries in road accidents but still no craze for buying helmets ,Goa
1818,06/03/2020,Corona virus entered as messenger to inform people  that. You are nothing  a virus can kill you. So keep away narcissism.,Goa
1819,06/03/2020,This district-wise estimate of preparedness is also an indicator of India's uneven development. How prepared is India for a Covid-19 outbreak https://www.livemint.com/news/india/how-prepared-is-india-for-a-covid-19-outbreak-11583428239700.html #coronavirusinindia #coronavirus,Goa
2177,07/03/2020,Coronavirus outbreak: Melbourne doctor who tested positive may have affected his own patients ,Goa
2178,07/03/2020,Corona virus confirmed cases surpass 101 000 worldwide. UN says a drop in global travel may cost $50 billion. https://www.amazon.in/Love-Honour-Sunil-Gera/dp/1528933974/ref=sr_1_3,Goa
2179,07/03/2020,Corona Virus may not come to Goa considering the outrage towards outsiders coming to Goa.,Goa
2722,09/03/2020,When you have set an awesome hello tune but everyone listens corona virus precaution on call: ,Goa
2723,09/03/2020,Whatsapp -> http://bit.ly/39CSML8 (+919990482449) Checkout this hot &amp; latest Others Coronavirus Protection 3 Layer Face Mask Pack of 3 Product Name: Coronavirus Protection 3 Layer Face Mask Material: Nonâ¦ https://www.instagram.com/p/B9fuU35BNMU/?igshid=1vvhoqz88187,Goa
2724,09/03/2020,To fight the CoVID19 Goa International Airport is taking utmost care and the regular fumigation is carried for Immigration/screening counters  washrooms offices in International arrival. NO STONE IS LEFT UNTURNED @AAI_Official @MoCA_GoI @MoHFW_INDIA @DGCAIndia @visrane @aairedwr â at Dabolim Goa International Airport (GOI),Goa
2725,09/03/2020,I think China should be billed for the spread of Covid19 as they tried to hide the fact. Protecting the communist party at the cost of the world health isn't acceptable. The Chinese govt should be docked in the UN and by affected govt's.,Goa
3037,10/03/2020,Yes   But Pharmas the world over will make 5 trillion $. Thats the deal. !!! After that CoronaVirus will be gone ! #COVID2019 #CoronavirusOutbreak #Quarantined,Goa
3359,11/03/2020,Coronavirus update: India suspends all tourist visas from 13 March to 15 April ,Goa
3360,11/03/2020,Good time to complete writing and skype interviews due to travel ban and cancelled conferences #COVID19 #Academic,Goa
3361,11/03/2020,Does International relations as a subject have something to say about #COVID19 #Academic #internationalrelations,Goa
3880,12/03/2020,@traveltriangle when the pandemic of corona virus is spread  our prime minister and the WHO has requested people to refrain from travelling unnecessarily  even airlines have cancelled to and fro flights on bagdogra sector,Goa
3881,12/03/2020,WHO has declared corona virus as pandemic and requested people not to travel unnecessarily. Our travel agent namely travel triangle is refusing to refund us the initial deposit amount as it is against their cancellation policy.,Goa
3882,12/03/2020,They say it is against their cancellation policy to give back refund  we do not understand why we should travel in such epidemic spread of corona virus and secondly how should we reach there  when flights are cancelled ,Goa
3883,12/03/2020,WHO has declared corona virus a pandemic  according to government directives flights have been cancelled on bagdogra sector and both spice jet and go air have initiated a full refund of the air fare for to and fro fares. Bhutan is closed for tourist for 15 days,Goa
3884,12/03/2020,Semi Live Goa 2020 First international talk being telecasted No impact of corona virus on conference spirit... â at Grand Hyatt,Goa
3885,12/03/2020,Cricket be dammed. People are struggling with threat of Corona virus as jobs and businesses shut down and schools close.,Goa
3886,12/03/2020,Is that all we think of? Country and world is grappling with the global scourge ofc corona virus and BCCI and cricketers only think of playing cricket. It's like Nero fiddling while Rome was burning. Shortsighted and greedy.,Goa
3887,12/03/2020,BCCI is crazy? Country is grappling with the Corona virus and these fools want to play cricket.,Goa
3888,12/03/2020,Tom Hanks and wife Rita Wilson test positive for coronavirus: We will keep the world posted https://www.indiatoday.in/movies/celebrities/story/tom-hanks-and-wife-rita-wilson-test-positive-for-coronavirus-we-will-keep-the-world-posted-1654626-2020-03-12 via @indiatoday,Goa
3889,12/03/2020,I guess the same people who earlier sniggered at others for being hygienic have made the Hand Sanitizer their new ALCOHOL ! #StopHoardingHandSanitizer #CoronavirusIndia #COVID19,Goa
4724,13/03/2020,Health Minister in Goa is in favour of complete lockdown in connection with the #CoronaVirus. Shigmo Parades also heading for cancellation. Better safe than sorry! #CoronaOutbreak #CoronavirusPandemic #Goa #Shigmo #CoronaGoa #CoronaVirusUpdates #GoaTourism,Goa
4725,13/03/2020,@kiwicom247 urgent assistance re CoronaVirus cancellation please. Do we get a full refund? We cannot understand your terms and conditions,Goa
4726,13/03/2020,Canadian PM Justin Trudeau's wife positive for coronavirus ,Goa
5612,14/03/2020,Just Praying To God that corona virus epidemic goes off soon. Keep all of us safe and give us strength and power to fight and immunize ourself against Corona Virus. Take care guys ur health matters first.u too take care Zain #ZainImam #NoCoronaVirus #ZainImamInGoa,Goa
5613,14/03/2020,#Shigmo parade in full swing in Panaji despite #coronavirus fears #Goa,Goa
5614,14/03/2020,The coronavirus: Blueprint for bioterrorism ,Goa
5615,14/03/2020,My state be like: oh coronavirus. So everything will be closed. Students: oh so exams- Them: NO NO NOT EXAMS. WE CANNOT RISK IT? WHAT WILL YOUR FUTURE IF YOU DONT ANSWER. So  you will have to answer them. Whether you gfall sick or not.,Goa
5616,14/03/2020,Public health ke bare mein aur baatien karo-na. #coronavirus positives.,Goa
5617,14/03/2020,Sir don't give any help full answer about corona virus@narendramodi â at Castlerock Railway Station,Goa
5618,14/03/2020,We all can do our part to slow down #coronavirus. Are you doing yours? Join this pledge to help save lives! ,Goa
5619,14/03/2020,https://www.lbc.co.uk/hot-topics/coronavirus/why-uk-acting-differently-other-countries/ This is on a bizarre assumption that unlike all the other Pandemics like Swine Flu  Spanish Flu  SARS  MERS  etc  #COVID19 will have a double peak! Whereâs the evidence? None...except that it will cause death to most vulnerable people&amp; #NHS may survive.,Goa
5620,14/03/2020,Remote work and distance learning should be taken seriously. #COVID19 #CoronaOutbreak,Goa
5738,14/03/2020,Just Praying To God that corona virus epidemic goes off soon. Keep all of us safe and give us strength and power to fight and immunize ourself against Corona Virus. Take care guys ur health matters first.u too take care Zain #ZainImam #NoCoronaVirus #ZainImamInGoa,Goa
5739,14/03/2020,#Shigmo parade in full swing in Panaji despite #coronavirus fears #Goa,Goa
5740,14/03/2020,The coronavirus: Blueprint for bioterrorism ,Goa
5741,14/03/2020,My state be like: oh coronavirus. So everything will be closed. Students: oh so exams- Them: NO NO NOT EXAMS. WE CANNOT RISK IT? WHAT WILL YOUR FUTURE IF YOU DONT ANSWER. So  you will have to answer them. Whether you gfall sick or not.,Goa
5742,14/03/2020,Public health ke bare mein aur baatien karo-na. #coronavirus positives.,Goa
5743,14/03/2020,Sir don't give any help full answer about corona virus@narendramodi â at Castlerock Railway Station,Goa
5744,14/03/2020,We all can do our part to slow down #coronavirus. Are you doing yours? Join this pledge to help save lives! ,Goa
5745,14/03/2020,https://www.lbc.co.uk/hot-topics/coronavirus/why-uk-acting-differently-other-countries/ This is on a bizarre assumption that unlike all the other Pandemics like Swine Flu  Spanish Flu  SARS  MERS  etc  #COVID19 will have a double peak! Whereâs the evidence? None...except that it will cause death to most vulnerable people&amp; #NHS may survive.,Goa
5746,14/03/2020,Remote work and distance learning should be taken seriously. #COVID19 #CoronaOutbreak,Goa
6549,14/03/2020,Come to goa. No covid so far!,Goa
6550,14/03/2020,Can't tell if I'm breathing poorly because of my generally bad lungs  anxiety  or COVID-19.,Goa
6551,14/03/2020,@lastminute_com hello. Just received flight check in details London to India for 8th April. India is on lockdown. Flights not coming in. Hiw do we arrange full refund,Goa
6816,14/03/2020,#Shigmo parade in full swing in Panaji despite #coronavirus fears #Goa,Goa
6817,14/03/2020,The coronavirus: Blueprint for bioterrorism ,Goa
6818,14/03/2020,My state be like: oh coronavirus. So everything will be closed. Students: oh so exams- Them: NO NO NOT EXAMS. WE CANNOT RISK IT? WHAT WILL YOUR FUTURE IF YOU DONT ANSWER. So  you will have to answer them. Whether you gfall sick or not.,Goa
6819,14/03/2020,Public health ke bare mein aur baatien karo-na. #coronavirus positives.,Goa
6820,14/03/2020,Sir don't give any help full answer about corona virus@narendramodi â at Castlerock Railway Station,Goa
6821,14/03/2020,We all can do our part to slow down #coronavirus. Are you doing yours? Join this pledge to help save lives! ,Goa
