,Tweet Posted Time (UTC),Tweet Content,Tweet Location
1400,05/03/2020,Take necessary precautions and try not to hype about this #CoronaVirus. Spread awareness about it and by following few steps you can surely avoid this. WHO has issued special guidelines  please follow them. Distribute masks to the needy ones and stay safe. #CoronaVirusinIndia,Haryana
3363,11/03/2020,#GodMorningWednesday Hori  meaning happiness  which can be attained only by devotion of God Kabir. Then it is useless to be red  yellow  green  blue which only brings sorrow............. #CoronavirusOutbreak #coronavirus https://twitter.com/AnamikaSharma00/status/1236913321019715584/video/1,Haryana
3364,11/03/2020,Strange coincidence that all worst affected Covid19 cases are along the same Latitude 40à¹ : From left: France Italy Iran Wuhan S.Korea Japan Seattle Washington NewYork ,Haryana
6552,14/03/2020,The Psychology Of Uncertainty: How To Cope With COVID-19 Anxiety via @forbes,Haryana
6553,14/03/2020,The Psychology Of Uncertainty: How To Cope With COVID-19 Anxiety via @forbes https://www.forbes.com/sites/bryanrobinson/2020/03/12/the-psychology-of-uncertainty-how-to-cope-with-covid-19-anxiety/,Haryana
6828,14/03/2020,The Psychology Of Uncertainty: How To Cope With COVID-19 Anxiety via @forbes,Haryana
6829,14/03/2020,The Psychology Of Uncertainty: How To Cope With COVID-19 Anxiety via @forbes https://www.forbes.com/sites/bryanrobinson/2020/03/12/the-psychology-of-uncertainty-how-to-cope-with-covid-19-anxiety/,Haryana
9457,16/03/2020,This is our govt. PM is cancelling his meeting  IPL due to the threat of corona virus but we can give the exam because ofcourse the country wont suffer if one of us dies but the country will suffer if one of the celebs/ministers dies.#SSC_CHSL @abpanandatv @MamataOfficial,Haryana
9458,16/03/2020,Arvind Kejriwal: Postpone ssc chsl exams due to coronavirus - Sign the Petition! http://chng.it/D6twtVvY via @ChangeOrg_India #sscchsl @PMOIndia @ABPNews @ndtv @sscchief plz read this and postponed ssc exam @Ritu_sidshipper @ohhitshiza @PTHAKUR2907 @Deepshikha666 @Anamika66012147,Haryana
10848,16/03/2020,This is our govt. PM is cancelling his meeting  IPL due to the threat of corona virus but we can give the exam because ofcourse the country wont suffer if one of us dies but the country will suffer if one of the celebs/ministers dies.#SSC_CHSL @abpanandatv @MamataOfficial,Haryana
10849,16/03/2020,Arvind Kejriwal: Postpone ssc chsl exams due to coronavirus - Sign the Petition! http://chng.it/D6twtVvY via @ChangeOrg_India #sscchsl @PMOIndia @ABPNews @ndtv @sscchief plz read this and postponed ssc exam @Ritu_sidshipper @ohhitshiza @PTHAKUR2907 @Deepshikha666 @Anamika66012147,Haryana
11676,17/03/2020,Not only human being #jio internet also have #coronavirus positive in reports. @reliancejio,Haryana
11677,17/03/2020,So instead of sitting back and crying about social distancing  letâs talk about how everything else around is healing  the things that actually matter  the non materialistic beautiful existence of our souls. #coronavirus #COVID2019 #coronaviruspandemic @PMOIndia @WHO,Haryana
11678,17/03/2020,LessTraffic  less pollution  more personal space  more family time  these are times when we realise sometimes these are the things that bring us close to actually âtaking careâ of ourselves. #covid_19 #corona #coronavirus #coronavirusoutbreak #coronaviruspandemic #quarantine,Haryana
12855,17/03/2020,LessTraffic  less pollution  more personal space  more family time  these are times when we realise sometimes these are the things that bring us close to actually âtaking careâ of ourselves. #covid_19 #corona #coronavirus #coronavirusoutbreak #coronaviruspandemic #quarantine,Haryana
13292,17/03/2020,Not only human being #jio internet also have #coronavirus positive in reports. @reliancejio,Haryana
13293,17/03/2020,So instead of sitting back and crying about social distancing  letâs talk about how everything else around is healing  the things that actually matter  the non materialistic beautiful existence of our souls. #coronavirus #COVID2019 #coronaviruspandemic @PMOIndia @WHO,Haryana
13294,17/03/2020,LessTraffic  less pollution  more personal space  more family time  these are times when we realise sometimes these are the things that bring us close to actually âtaking careâ of ourselves. #covid_19 #corona #coronavirus #coronavirusoutbreak #coronaviruspandemic #quarantine,Haryana
13295,17/03/2020,LessTraffic  less pollution  more personal space  more family time  these are times when we realise sometimes these are the things that bring us close to actually âtaking careâ of ourselves. #covid_19 #corona #coronavirus #coronavirusoutbreak #coronaviruspandemic #quarantine,Haryana
14307,18/03/2020,Congratulations @narendramodi @drharshvardhan @AshwiniKChoubey for your Efforts in saving India &amp; Indians against this coronavirus. India will remember this forever. ,Haryana
15968,18/03/2020,Congratulations @narendramodi @drharshvardhan @AshwiniKChoubey for your Efforts in saving India &amp; Indians against this coronavirus. India will remember this forever. ,Haryana
16924,19/03/2020,Corona Virus has impacted the IT industry as well  but it will be up soon. #CoronaVirusUpdate,Haryana
16925,19/03/2020,So good to see Prime Minister is leading from the front and requesting the people of the nation to give their time in order to fight hard with this invisible enemy - The Corona Virus! #GoCoronaCoronaGo #StaySafeStayHome,Haryana
16926,19/03/2020,Hey @CoronaVirus  I heard that you are very strong in Germany. I just wanted to remind you that our dear strongman  @dhruv_rathee is also there and making his videos against the #HindutvavaadiForces.,Haryana
16927,19/03/2020,Hey @ImranKhanPTI! Why are you upset with #CoronaVirus? You have a lot of #SecondhandNukes that you got from #China. Use them. Eliminate potential infections. They will anyway be terrorists.,Haryana
18923,19/03/2020,Hello i kindly request you not to come out of your house after 10 pm tonight till tomorrow 5 am.... As their will be spraying medicine in the air in order to kill the COVID-19!! Share this information to all your friends relatives and your families... Thank you. @narendramodi,Haryana
18924,19/03/2020,Due to Modi ji announcement of lockdown people where afraid and they stock 1 month grocery at there home due to this people where panic some items where out of stock @PMOIndia please suggest people that they will get daily needs and itâs not be closed .,Haryana
