,Tweet Posted Time (UTC),Tweet Content,Tweet Location
1401,05/03/2020,This is a breaking news in whole world. Today make latest Question in jharkhand 11th first year exam. http://www.jac.nic.in Corona virus ,Jharkhand
1821,06/03/2020,Coronavirus COVID-19 Global Cases as tracked by Johns Hopkins University's @JHUSystems . #coronavirusinindia #Covid_19 #COVID19 #coronavirus #COVID #CoronavirusFrance #CoronaAlert #CoronaVirusSA #CoronavirusOutbreak #CoronaVirusIndonesia #100DaysOfCorona http://bit.ly/2Iol5AU,Jharkhand
1822,06/03/2020,Todayâs #coronavirus recap: -95 270 confirmed cases globally &amp; 3 281 deaths -80% of new cases in -@WHO estimates ~3.4% of #COVID19 cases have died -âIt is a time for pulling out all the stopsâ-@DrTedros -Countries must take a comprehensive  all-government approach,Jharkhand
1823,06/03/2020,Coronavirus COVID-19 Global Cases as tracked by Johns Hopkins University's @JHUSystems . #coronavirusinindia #Covid_19 #COVID19 #coronavirus #COVID #CoronavirusFrance #CoronaAlert #CoronaVirusSA #CoronavirusOutbreak #CoronaVirusIndonesia #100DaysOfCorona http://bit.ly/2Iol5AU,Jharkhand
1824,06/03/2020,Todayâs #coronavirus recap: -95 270 confirmed cases globally &amp; 3 281 deaths -80% of new cases in -@WHO estimates ~3.4% of #COVID19 cases have died -âIt is a time for pulling out all the stopsâ-@DrTedros -Countries must take a comprehensive  all-government approach,Jharkhand
3365,11/03/2020,Dear HR  I am suffering from corona virus and request you to grant me paid leave for 20days. Otherwise I will come to office .... #Corona #coronavirusinindia #CoronaAlert #WednesdayWisdom #WednesdayMotivation #HRTech #100DaysOfCode #301DaysOfCode #BusinessPerformance,Jharkhand
5624,14/03/2020,Namaste trump is this better idea for Corona virus,Jharkhand
5625,14/03/2020,Well  fear does kill us but lack of awareness does more harm. Let's face these: #Tuberculosis #diarrhea #malnutrition #Malaria #Anemia kill many daily than #COVID19 has killed so far. #DoctorsSpeakUp,Jharkhand
5626,14/03/2020,Wish! #IndiaVsCorona #NamasteCorona #coronavirusinindia #CoronaPolitics #COVID19india #Corona #COVID #COVID19,Jharkhand
5750,14/03/2020,Namaste trump is this better idea for Corona virus,Jharkhand
5751,14/03/2020,Well  fear does kill us but lack of awareness does more harm. Let's face these: #Tuberculosis #diarrhea #malnutrition #Malaria #Anemia kill many daily than #COVID19 has killed so far. #DoctorsSpeakUp,Jharkhand
5752,14/03/2020,Wish! #IndiaVsCorona #NamasteCorona #coronavirusinindia #CoronaPolitics #COVID19india #Corona #COVID #COVID19,Jharkhand
6554,14/03/2020,Wish! #IndiaVsCorona #NamasteCorona #coronavirusinindia #CoronaPolitics #COVID19india #Corona #COVID #COVID19,Jharkhand
6830,14/03/2020,Namaste trump is this better idea for Corona virus,Jharkhand
6831,14/03/2020,Wish! #IndiaVsCorona #NamasteCorona #coronavirusinindia #CoronaPolitics #COVID19india #Corona #COVID #COVID19,Jharkhand
7571,15/03/2020,I advise everyone to use mask  handkerchief wash there hand frequently  avoid going to crowded places and take all necessary measures to fight against covid-19#coronavirus.@JharkhandCMO @INCJharkhand @JmmJharkhand @HemantSorenJMM @DrRameshwarOra1,Jharkhand
7572,15/03/2020,Thanks To Paramilitary Forces Indian Army Police Personnel Etc Deployed At Airports Bus Stand Traffic Signal Railway Station etc. They Are Continuously Doing Their Great Work For Our Safety Despite Corona Virus Fear They Are At High Risk But For Them Nation First #coronaVirus â at Ramgarh,Jharkhand
8396,15/03/2020,I advise everyone to use mask  handkerchief wash there hand frequently  avoid going to crowded places and take all necessary measures to fight against covid-19#coronavirus.@JharkhandCMO @INCJharkhand @JmmJharkhand @HemantSorenJMM @DrRameshwarOra1,Jharkhand
8713,15/03/2020,I advise everyone to use mask  handkerchief wash there hand frequently  avoid going to crowded places and take all necessary measures to fight against covid-19#coronavirus.@JharkhandCMO @INCJharkhand @JmmJharkhand @HemantSorenJMM @DrRameshwarOra1,Jharkhand
8714,15/03/2020,Thanks To Paramilitary Forces Indian Army Police Personnel Etc Deployed At Airports Bus Stand Traffic Signal Railway Station etc. They Are Continuously Doing Their Great Work For Our Safety Despite Corona Virus Fear They Are At High Risk But For Them Nation First #coronaVirus â at Ramgarh,Jharkhand
8715,15/03/2020,I advise everyone to use mask  handkerchief wash there hand frequently  avoid going to crowded places and take all necessary measures to fight against covid-19#coronavirus.@JharkhandCMO @INCJharkhand @JmmJharkhand @HemantSorenJMM @DrRameshwarOra1,Jharkhand
9459,16/03/2020,Sad to see that people don't realize their duty and it has to be forced upon them time and again. 6 months jail and monetary fine: COVID19 suspects in UP have to pay if they flee quarantine or hide symptoms https://tfipost.com/2020/03/6-months-jail-and-monetary-fine-covid19-suspects-in-up-have-to-pay-if-they-flee-quarantine-or-hide-symptoms/ via @tfipost,Jharkhand
11679,17/03/2020,Great decision for Corona virus,Jharkhand
11680,17/03/2020,@HemantSorenJM Sir If we teaching and non teaching staffs attend institution then how can we prevent covid19(corona). Please close all institution.,Jharkhand
12856,17/03/2020,COVID is a Chinese virus. And the onus of its spill over lies with the Chinese government. ,Jharkhand
12857,17/03/2020,Proactive action taken by our government to curtail of COVID-19. Hats off Indian authorities &amp; Government.@PMOIndia @narendramodi,Jharkhand
13296,17/03/2020,Great decision for Corona virus,Jharkhand
13297,17/03/2020,COVID is a Chinese virus. And the onus of its spill over lies with the Chinese government. ,Jharkhand
13298,17/03/2020,Proactive action taken by our government to curtail of COVID-19. Hats off Indian authorities &amp; Government.@PMOIndia @narendramodi,Jharkhand
14308,18/03/2020,Please Beware of Fake #Coronavirus Tracker Application in the market guys. #CyberSecurity #DataScience #datasecurity #Hackers #100DaysOfCode #CoronavirusOutbreak #CoronaVirusPakistan #Coronafighters #CoronaVirusChallenge,Jharkhand
15493,18/03/2020,This is the @MerriamWebster definition of 'covid-19' ,Jharkhand
15494,18/03/2020,@NetflixIndia @PrimeVideoIN hope u gonna lower down ur subscription fee ...so that we can enjoy our lockdown period #StaySafeStayHome #COVID2019india #GoCoronaCoronaGo,Jharkhand
