Unnamed: 0,Tweet Posted Time (UTC),Tweet Content,Tweet Location
211546,22/04/2020,#COVID19 is fooling countries. A person tested negative becomes positive after days  again negative then positive..Wasting time running after it. Better treat the real patients and ignore the healthy ones  though infected.Try methods to BOOST IMMUNITY. Include Ayurveda/Homeo too,Kerala
217069,23/04/2020,Trump wants scientists to try injecting bleach or disinfectant into coronavirus patients  maybe even sunlight ,Kerala
217070,23/04/2020,U.S. jobless claims reach 26 million since coronavirus hit  wiping out all gains since 2008 recession ,Kerala
217071,23/04/2020,Those who are too eager to extend #LockdownWithoutPlan are having negative vested interests and envy in the economic and industrial progress of the country in #COVID19 situations..,Kerala
217072,23/04/2020,10 #COVID19 positive cases confirmed today in #Kerala,Kerala
217073,23/04/2020,Harvesting of field cowpea started at #Thanal Agroecology centre   Wayanad . #Covid19 tell us the importance of local food systems ,Kerala
217074,23/04/2020,Solidarity Clinical Trials to discover effective medicines from Homoeopathic Medicines to reduce COVID19 progression which stimulates host cells and plasma cells to produce rapidly cytokines specific antibodies to neutralise 2019nCoV; has submitted to AYUSH &amp; ICMR for approval.,Kerala
217075,23/04/2020,Plea In SC Seeks Curb On Religious & Community Profiling Associated With COVID19 ,Kerala
217076,23/04/2020,India fights corona ,Kerala
217077,23/04/2020,India fights corona http://3rdshow.blogspot.com/2020/04/india-fights-corona.html,Kerala
217078,23/04/2020,India fights corona http://3rdshow.blogspot.com/2020/04/india-fights-corona.html,Kerala
217079,23/04/2020,India fights corona http://3rdshow.blogspot.com/2020/04/india-fights-corona.html,Kerala
228141,24/04/2020,Officials counter Trumpâs suggestion that heat  light and disinfectants could be coronavirus treatments ,Kerala
228142,24/04/2020,Narendra Modi eyes votes in communalising coronavirus pandemic and hounding Muslims ,Kerala
228143,24/04/2020,Deaths and desperation mount in Ecuador  epicenter of coronavirus pandemic in Latin America ,Kerala
228144,24/04/2020,Faces Of Medical Workers After A Long Shift Of Treating Coronavirus Patients #WeLoveDoctors @Siva_Kartikeyan,Kerala
228145,24/04/2020,Friends and relatives of Kushwaha family who work as migrant workers walk along a road to return to their villages during a nationwide lockdown to limit the spreading of coronavirus  in New Delhi. ,Kerala
228146,24/04/2020,Two new posts and two new awesome #infographics! Guidance for EMS/first responders and healthcare providers during #COVID19 based on the @American_Heart interim guidance! #canadiem #covid19 #pandemic #HealthcareHeroes #AHA #infographics,Kerala
228147,24/04/2020,If sunlight is the ultimate solution for #COVID19  then there would not be any patients and #LockdownWithoutPlan in Kerala,Kerala
228148,24/04/2020,Three #COVID19 cases reported today in #Kerala,Kerala
228149,24/04/2020,I really like #SouthKorea  the way they do things and how they have handled #COVID19 - then I see #KPOP! WTF!,Kerala
228150,24/04/2020,PILs Allege Non-Covid19 Patients Refused Treatment By Hospitals; Bombay HC Seeks State &amp; Centre's Reply [Read Order] ,Kerala
228151,24/04/2020,Get serious about social distancing. Visitors please stay away from children  older people and others in the high risk category. #Covid19 #Covid_19india,Kerala
228152,24/04/2020,Is there any articles on how SARS came to a end? What is different from current COVID19 and SARS epidemics? @911_metropole @trvrb,Kerala
241107,25/04/2020,Global coronavirus deaths pass 200 000: Live updates ,Kerala
241108,25/04/2020,Homemade WHO instructed Hand Sanitizer... watch it on Reshz ideas https://youtu.be/fiN7V7RC0fo #TeamMaskForce @mygovindia #handmade #handsanitizer #IndiaFightsCoronavirus #coronavirus #Covid19India #COVID2019india #Covid_19 #Lockdown2 #lockdown @narendramodi #StayHomeStayUpdated,Kerala
241109,25/04/2020,Homemade DIY fabric Mask.. Watch it on Reshz ideas https://youtu.be/Af0-O-o3Ui0 #TeamMaskForce @mygovindia #mask #Covid19India #COVID2019india #Covid_19 #coronavirus #Lockdown2 @narendramodi #lockdown #StaySafeStayHome #stayhomewithJ #MASKFORCE #IndiaFightsCoronavirus #KeralaModel,Kerala
241110,25/04/2020,I think his country doesn't have police Or else he might be liittle 3 yr old kid who doesn't know anything about the situation of Coronavirus in our country,Kerala
241111,25/04/2020,China reports no new coronavirus deaths in ten days: Live updates https://aje.io/gyxhy,Kerala
241112,25/04/2020,#Mohanlal's Viswa Shanthi Foundation has donated robots to Kalamasserry Medical college to fight against Coronavirus. highly appreciable #Mohanlal #Lalettan,Kerala
241113,25/04/2020,Coronavirus: 'I faked having Covid-19 on Facebook and got arrested' ,Kerala
241114,25/04/2020,Let us talk about #KeralaModel in #coronavirus recovery and death rate.,Kerala
241115,25/04/2020,Humanity is a mirage!!! Cry my India! Coronavirus: 3 bodies of UAE expats returned from Delhi airport ,Kerala
241116,25/04/2020,Health-care workers enter a residential area of Mumbai  India  on April 20  2020  to check on people living there during a nationwide lockdown to slow the spread of the coronavirus. ,Kerala
241117,25/04/2020,Children needs to be appriciated for the care they took! But is this effective against #Covid19 ? This points finger towards our system  which is unable to provide essential materials to all  right?,Kerala
241118,25/04/2020,Seven new #COVID19 cases reported in the state on Saturday,Kerala
241119,25/04/2020,Not industrialised corporate agriculture but family farms  small farms can ensure our food security Post #Covid19 world ,Kerala
241120,25/04/2020,Small #Indian State #Kerala seen as 'Model State' in the #Covid19 fight Vid:@RTAmericaNews @RT_com Full vid:https://youtu.be/ziwGcsUdOvg #BreakTheChain #staysafe,Kerala
241121,25/04/2020,RIP Dr. KM Ismail Hussain saheb who served the Society not money  a true Medical Practitioner from Kurnool  Andhra. Dedicated entire life to the service of Humanity #Kurnool #AndhraFightsCorona #IndiaFightsCorona #humanity #Medical #KurnoolFightsCorona #AndhraPradesh #Telangana,Kerala
252864,26/04/2020,Coronavirus (COVID-19) origin: Cause and how it spreads https://www.medicalnewstoday.com/articles/coronavirus-causes?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=social-sharebar-referred-desktop via @healthline,Kerala
252865,26/04/2020,#Kerala #covid19. Health minister @shailajateacher said 11 tested positive today   Four recovered. Break up of Positive cases Idukki-6 Kottayam-5 Total recovered:342 Active cases : 123 Total cases; 468 @CMOKerala #keralafightsCorona #coronavirus #COVID2019india #Covid_19india,Kerala
252866,26/04/2020,New York tested 46000+ people for Corona Virus in a Single day. This is how testing should be done. In our country with many most of the states Haven't tested even close to this number â And @MoHFW_INDIA says it's well under control â ,Kerala
252867,26/04/2020,A spoonful Clorox #trump #covid19 ,Kerala
252868,26/04/2020,thats a Norinco QBZ? bull pup rifle,Kerala
252869,26/04/2020,sir kindly use expansions i knw its twitter but finding it bit slow to understand. ,Kerala
252870,26/04/2020,@PravinSawhney Sir the middle east attitude towards India ...sply from UAE Kuwait   Saudi Arabia has started to react what considered to be internal seems not to be .. did NRC CAA Covid19 scape goat had its toll? or it was bound to happen?,Kerala
252871,26/04/2020,#Kerala #covid19. Health minister @shailajateacher said 11 tested positive today   Four recovered. Break up of Positive cases Idukki-6 Kottayam-5 Total recovered:342 Active cases : 123 Total cases; 468 @CMOKerala #keralafightsCorona #coronavirus #COVID2019india #Covid_19india,Kerala
252872,26/04/2020,#iDonatedOnAmazon. As #IndiaFightsCorona  each contribution matters. Amazon has pledged to contribute an additional 10% or more on donations to fight COVID-19. Donate Now https://www.amazon.in/donatenow,Kerala
260674,26/04/2020,The lockdown story ! #Covid_19,Kerala
260675,26/04/2020,1. #Tablighis who are tested positive are getting treatment at Govt cost. 2. If required govt can make amendments in Epidemic act to get Plasma from cured patients mandatorily  if proved that Plasma can cure Covid  which is not yet proved 3. Don't make a big deal out of it,Kerala
260676,26/04/2020,The lockdown story ! #Covid_19,Kerala
260677,26/04/2020,Saw Gully Boy and Dil Dhadakne Do last week  Gully Boy was exceptionally good and the other was a fun to watch  I guess I saw three Zoya Akhtar movies during the lock down. She is a terrific director.,Kerala
260678,26/04/2020,You are a sore looser sire. Hate you from Kerala for 2 things 1. Negligence and inaction of Mumbai police at the time death of a sage 2. The nation will extend the lockdown because the numbers are rising.,Kerala
260679,26/04/2020,@ShashiTharoor Something creative came from the lockdown finally..Please share and support ,Kerala
260680,26/04/2020,I think issue is trains.. cannot stop that unless a national lockdown is in place,Kerala
260681,26/04/2020,All India Central Council of Trade Unions Seeks Intervention In Plea Against Full Payment Of Wages To Employees Amid Lockdown [Read Application] ,Kerala
267552,27/04/2020,Coronavirus: Researchers in US and China team to find the origins of COVID-19 #Coronavirus ,Kerala
267553,27/04/2020,A Muslim man with partial paralysis in his hand accidentally dropped currency notes at a petrol pump. The video was shared by ABP News's Vikas Bhaduria and TV9 Gujarati falsely connecting it with coronavirus. #AltNewsFactCheck | @zoo_bear @HereisKinjal,Kerala
267554,27/04/2020,Madras HC Issues Notice On Plea Seeking Insurance Coverage Of Upto 25 Lakhs For LPG Deliverymen In Case Of Death Due To Corona Virus [Read Order] ,Kerala
267555,27/04/2020,#coronavirus Positive Cases in India will touch 30000 tomorrow India will also see 1000 death also 30000 positive cases out of 700000 lakh testing Are we literally safe?,Kerala
267556,27/04/2020,Now we need vaccine against coronavirus. @narendramodi @1healthminister,Kerala
267557,27/04/2020,Instead of treating individual #COVID19 patients in each district  they may be gathered and treatment centralized in a few hospitals in the state  thus reducing manpower  expenditure and the patients will get more efficient treatments. @CMOKerala @PMOIndia @drharshvardhan,Kerala
267558,27/04/2020,13 New #Covid19 Cases Reported in Kerala,Kerala
267559,27/04/2020,#Kottayam and #Idukki announced as Red Zones due to rapid increase in #Covid19 cases,Kerala
267560,27/04/2020,This is the time to stand united  stay focussed & move forward together. The beaches  the backwaters  the hilltops & the spiritual abodes are here for us  if we all are willing to wait for it. Let's all #StayHome and #StaySafe #VisitKeralaLater #MeraPhotoTours #Kerala #Covid19 ,Kerala
267561,27/04/2020,No Trace of Community Spread of Covid19 in Kerala : KK Shailaja https://www.mixindia.com/no-trace-of-community-spread-of-covid19-in-kerala-kk-shailaja/,Kerala
