,Tweet Posted Time (UTC),Tweet Content,Tweet Location
763,04/03/2020,Coronavirus: WHO announces global death rate is 3.4% #Coronavirus ,Manipur
3040,10/03/2020,My coronavirus anxiety score makes me Somewhat Coronaphobic (54%). https://www.idrlabs.com/coronaphobia/54/result.php via @idr_labs,Manipur
3891,12/03/2020,What countries have been affected by the novel coronavirus known as COVID-19? How many cases are there in China? https://infographics.channelnewsasia.com/covid-19/map.html via @ChannelNewsAsia,Manipur
7573,15/03/2020,Jaipur man tests positive for COVID19  total cases rise to 100 ,Manipur
10530,16/03/2020,Respected sir We can do some step to remove COVID Virus from our country.  1. We should expand the scope of our investigation in term of medical http://treatment.like if any person has carrying this virus than we should investigate whole colony  community.,Manipur
10850,16/03/2020,Respected sir We can do some step to remove COVID Virus from our country.  1. We should expand the scope of our investigation in term of medical http://treatment.like if any person has carrying this virus than we should investigate whole colony  community.,Manipur
15496,18/03/2020,The world is now in one stoppage. @CoronVirus It's fully man-made and Booms of Yellow Media. Please don't be panic  Take patience and fight against the Victim country who want to be more strong to the economy. Fuck that Idea . One-day people can understand. @COVID_19,Manipur
15973,18/03/2020,The world is now in one stoppage. @CoronVirus It's fully man-made and Booms of Yellow Media. Please don't be panic  Take patience and fight against the Victim country who want to be more strong to the economy. Fuck that Idea . One-day people can understand. @COVID_19,Manipur
16939,19/03/2020,Kolkata will never forgive you Shame on you #COVID2019india #COVID2019india #CoronaVirusUpdate #coronavirusindia #Kolkata #SafetyFirst #coronavirus ,Manipur
16940,19/03/2020,Health authority Public Service Announcement DO THE FIVE Help stop coronavirus 1HANDSWash them often 2ELBOWCough into it 3FACEDon't touch it 4SPACEKeep safe distance 5FEELsick? Stay home,Manipur
19752,19/03/2020,Kolkata will never forgive you Shame on you #COVID2019india #COVID2019india #CoronaVirusUpdate #coronavirusindia #Kolkata #SafetyFirst #coronavirus ,Manipur
19753,19/03/2020,Health authority Public Service Announcement DO THE FIVE Help stop coronavirus 1HANDSWash them often 2ELBOWCough into it 3FACEDon't touch it 4SPACEKeep safe distance 5FEELsick? Stay home,Manipur
21203,20/03/2020,The second one in Kolkata Ballygaunge This is really turning nasty! Please stay at home #CoronaVirusUpdate #Kolkata #IndiaFightsCorona #CONVID19,Manipur
21204,20/03/2020,stay at home sanitize your hand use Mask avoid gatherings stay safe and cooperate to stay safe.... #CoronaVirusUpdate #CoronavirusOutbreakindia #IndiaFightsCorona #StaySafeStayHome #COVID2019india #COVID2019,Manipur
21205,20/03/2020,Please follow the protocols and stay at home please help to build a corona free country #CoronavirusOutbreakindia #IndiaFightsCorona #StaySafeStayHome #IndiaComeTogether #CoronaStopKaroNa #COVID2019india #coronavirusindia,Manipur
25372,21/03/2020,An important message from our honourable PM Mr. Narendra Modi ji to the nation to fight against #CoronaVirus. We OPPOer's support JANTA CURFEW Let's take a pledge together to Stay Safe Be the part of the movement!! ,Manipur
25373,21/03/2020,Coronavirus: Germany counts over 16 000 cases #Coronavirus ,Manipur
28019,21/03/2020,Due to the spread of Covid-19  please strictly avoid all social  religious and commercial gatherings. It is not the time to show your bravery and religiousness  but to remain alert and careful. We must take these precautions to protect the elderly and vulnerable of our community.,Manipur
28020,21/03/2020,Due to the spread of Covid-19  please strictly avoid all social  religious and commercial gatherings. It is not the time to show your bravery and religiousness  but to remain alert and careful. We must take these precautions to protect the elderly and vulnerable of our community.,Manipur
28021,21/03/2020,Time to fully lock down India @PMOIndia @narendramodi,Manipur
