,Tweet Posted Time (UTC),Tweet Content,Tweet Location
4730,13/03/2020,The #AUSvsNZ game at #SCG looks more like a domestic game than an #ODI. #cricket #Sydney #COVID19 #coronavirus,Meghalaya
7574,15/03/2020,@SangmaConrad it's high time that the govt should take some measure to prevent the spread of coronavirus in our state... Close school college mass gathering thank you,Meghalaya
8716,15/03/2020,@SangmaConrad it's high time that the govt should take some measure to prevent the spread of coronavirus in our state... Close school college mass gathering thank you,Meghalaya
15497,18/03/2020,AI should refund full fare without any cancellation fee for all international passengers who are not allowed to board flights to India due to Covid-19 related regulations of GOI!,Meghalaya
15498,18/03/2020,Well done  Ricardo! Scientific  logical and appropriate for Italy ! A Scientist Persuaded Italy to Exempt Vape Shops From COVID-19 Lockdown https://filtermag.org/italy-vaping-coronavirus/ via @Filtermag_org,Meghalaya
15499,18/03/2020,Well done  Ricardo! Scientific  logical and appropriate for Italy ! A Scientist Persuaded Italy to Exempt Vape Shops From COVID-19 Lockdown https://filtermag.org/italy-vaping-coronavirus/ via @Filtermag_org,Meghalaya
15974,18/03/2020,AI should refund full fare without any cancellation fee for all international passengers who are not allowed to board flights to India due to Covid-19 related regulations of GOI!,Meghalaya
15975,18/03/2020,Well done  Ricardo! Scientific  logical and appropriate for Italy ! A Scientist Persuaded Italy to Exempt Vape Shops From COVID-19 Lockdown https://filtermag.org/italy-vaping-coronavirus/ via @Filtermag_org,Meghalaya
15976,18/03/2020,Well done  Ricardo! Scientific  logical and appropriate for Italy ! A Scientist Persuaded Italy to Exempt Vape Shops From COVID-19 Lockdown https://filtermag.org/italy-vaping-coronavirus/ via @Filtermag_org,Meghalaya
19754,19/03/2020,My remarks in the State Assembly on the measures which need to be taken by the Health Department while dealing with COVID-19 https://www.instagram.com/tv/B950XO8Fn9v/?igshid=h72d0r8fnl4k,Meghalaya
25374,21/03/2020,Curfew of the people  by the people  for the people to fight #COVID19. As a responsible citizen  come forward &amp; respond to PM @narendramodiâs call for Janta Curfew by taking the âI Support Janta Curfewâ pledge. #IndiaFightsCorona,Meghalaya
25375,21/03/2020,Curfew of the people  by the people  for the people to fight #COVID19. As a responsible citizen  come forward &amp; respond to PM @narendramodiâs call for Janta Curfew by taking the âI Support Janta Curfewâ pledge. #IndiaFightsCorona ,Meghalaya
29265,21/03/2020,At this point  there is no such thing as relying on entities from above and beyond to rescue personages from this pandemic. Apprehend to the reality of the situation and contribute to eliminating the virus by complying to the basic guidelines. period. #Covid_19 #CoronaCrisis,Meghalaya
31225,22/03/2020,"A lovely message with or without what we are currently going through in the #world today. ""#beGreatful #stayAware  things will never be the same again."" #COVID19 is changing us. For all of us who makes it through this - build a better world. #riyasokol",Meghalaya
37761,22/03/2020,Not just claps  give personal protective gear for the Doctors and all the frontline personnel fighting COVID-19.,Meghalaya
37762,22/03/2020,Is Covid 19 a virus or a Vaccine killing âvirusesâ that plagues the earth..Mother Earth breathes fresh air. 1. No Industrial emission 2. No vehicular/airway emission 3. No/lesser carbon footprint. The Paris Accord is smiling. #COVID19outbreak @htTweets @timesofindia @WIONews,Meghalaya
37763,22/03/2020,The nation is united in solidarity with all the frontline personnel combating the COVID-19 outbreak. Now it's time for the government to act and ensure adequate supplies of medical kits and testing facilities for the frontline medical personnel immediately. #LockdownNow,Meghalaya
37764,22/03/2020,#Covid_19india #5baje5minute #JanataCurfew #COVID19outbreak #PrayersForCoronaFreeWorld #COVIDIOT #coronaupdatesindia @CMO_Meghalaya @himantabiswa @crpfindia @BSF_India Defying curfew in #Shillong be like...,Meghalaya
37765,22/03/2020,#Covid_19india #JantaCurfew this is the way itâs done,Meghalaya
40810,23/03/2020,The war against COVID19 is not over. In fact  this is just the beginning. Don't rush in to pat your own back so early.,Meghalaya
40811,23/03/2020,From #COP25 Climate Change Conference Centre in December 2019 to #COVID19 Isolation Center in March 2020 - We were in Madrid 3 months ago to take action on addressing the climate emergency and now this same venue has more than 5000 beds to deal with patients infected in Spain! ,Meghalaya
40812,23/03/2020,Hi @amazonIN when will clamp down on these price gougers. I bought a pack of 10 with an MRP of 190  Cloudtail as the seller. The same product is being sold for 3500 now by this other seller . Just look at the reviews too - probably scamming people. #COVID19 ,Meghalaya
40813,23/03/2020,#CoronaUpdatesInIndia 22-Mar-2020 - With an increase of 59 new cases  we are at 327 387. Currently 23/36 States ans UTs affected 75 #COVID19 effected districts is under lockdown Many states in have taken drastic measures to contain the virus #InterStateTravelBan imposed,Meghalaya
42791,23/03/2020,Its. Not to kill covid 19 corona viruses. But its a way to support and pay respect to the personal engaged in medical services tirelessly. Try to respect others sentiments,Meghalaya
42792,23/03/2020,Not only the state in under lockdown even inter-district travel has been restricted. Travel within the district has also been rationed in terms of ODD &amp; EVEN numbered vehicles. #Covid19India #CoronaUpdatesInIndia,Meghalaya
42793,23/03/2020,Firstpost: Coronavirus Outbreak LIVE Updates: Lockdown remains in effect in 80 districts; confirmed cases now at 329. https://www.firstpost.com/health/coronavirus-outbreak-live-updates-covid-19-india-italy-cases-death-count-mumbai-local-train-maharashtra-section-144-alert-latest-news-today-janata-curfew-8176641.html via @GoogleNews,Meghalaya
42794,23/03/2020,#CoronaUpdatesInIndia 22-Mar-2020 - With an increase of 59 new cases  we are at 327 387. Currently 23/36 States ans UTs affected 75 #COVID19 effected districts is under lockdown Many states in have taken drastic measures to contain the virus #InterStateTravelBan imposed,Meghalaya
45596,23/03/2020,Its. Not to kill covid 19 corona viruses. But its a way to support and pay respect to the personal engaged in medical services tirelessly. Try to respect others sentiments,Meghalaya
45597,23/03/2020,Not only the state in under lockdown even inter-district travel has been restricted. Travel within the district has also been rationed in terms of ODD &amp; EVEN numbered vehicles. #Covid19India #CoronaUpdatesInIndia,Meghalaya
45598,23/03/2020,Firstpost: Coronavirus Outbreak LIVE Updates: Lockdown remains in effect in 80 districts; confirmed cases now at 329. https://www.firstpost.com/health/coronavirus-outbreak-live-updates-covid-19-india-italy-cases-death-count-mumbai-local-train-maharashtra-section-144-alert-latest-news-today-janata-curfew-8176641.html via @GoogleNews,Meghalaya
45599,23/03/2020,#CoronaUpdatesInIndia 22-Mar-2020 - With an increase of 59 new cases  we are at 327 387. Currently 23/36 States ans UTs affected 75 #COVID19 effected districts is under lockdown Many states in have taken drastic measures to contain the virus #InterStateTravelBan imposed,Meghalaya
50484,24/03/2020,21 days total lockdown. Fckkkkkkkkkkk ,Meghalaya
50485,24/03/2020,Staying fit during the lockdown... â â ,Meghalaya
54097,24/03/2020,@narendramodi My best wishes are with you! Youâve made the right decision. This is the only way to subsidise the spread of Covid-19 in and around the country! More power to you Mr Modi,Meghalaya
54098,24/03/2020,Kerala now has the highest number of Active COVID-19 cases. Talk about rushing in to pat your own back!!!,Meghalaya
54099,24/03/2020,21 days total lockdown. Fckkkkkkkkkkk ,Meghalaya
54100,24/03/2020,Staying fit during the lockdown... â â ,Meghalaya
