,Tweet Posted Time (UTC),Tweet Content,Tweet Location
78195,28/03/2020,CROF by Green Team Kohima work as a catalyst between affected people & those willing 2 help out but cannot involve directly.While d pandemic can be contained hunger & starvation can't be postponed or keep a hold. #standforhumanity #greenteamkohima #kohima #nagaland #covid_19,Nagaland
80700,28/03/2020,CROF by Green Team Kohima work as a catalyst between affected people & those willing 2 help out but cannot involve directly.While d pandemic can be contained hunger & starvation can't be postponed or keep a hold. #standforhumanity #greenteamkohima #kohima #nagaland #covid_19,Nagaland
111165,03/04/2020,Trained Nurses Association of India  Kiphire Unit  Nagaland Branch contributed towards Fighting Novel COVID-19 @saritayadavrp @MyGovNagaland @CmoNagaland #COVID19 #IndiaFightsCarona #Kiphire #NagalandCombatsCorona,Nagaland
112433,03/04/2020,Everyone  please download the #AarogyaSetuApp. It will alert you if you come into contact with a Covid-19 positive person. You have to keep your location and Bluetooth on at all times. Please share it among your family members and friends.. @pangnyu #IndiaFightsCoronavirus,Nagaland
112434,03/04/2020,Trained Nurses Association of India  Kiphire Unit  Nagaland Branch contributed towards Fighting Novel COVID-19 @saritayadavrp @MyGovNagaland @CmoNagaland #COVID19 #IndiaFightsCarona #Kiphire #NagalandCombatsCorona,Nagaland
115127,03/04/2020,Everyone  please download the #AarogyaSetuApp. It will alert you if you come into contact with a Covid-19 positive person. You have to keep your location and Bluetooth on at all times. Please share it among your family members and friends.. @pangnyu #IndiaFightsCoronavirus,Nagaland
115128,03/04/2020,Trained Nurses Association of India  Kiphire Unit  Nagaland Branch contributed towards Fighting Novel COVID-19 @saritayadavrp @MyGovNagaland @CmoNagaland #COVID19 #IndiaFightsCarona #Kiphire #NagalandCombatsCorona,Nagaland
166219,13/04/2020,In the state and still not able to have a proper protocol & communication with the neighboring state. How can the govt lack basic stability to run a govt? #COVID2019 #Covid_19india,Nagaland
168566,13/04/2020,In the state and still not able to have a proper protocol & communication with the neighboring state. How can the govt lack basic stability to run a govt? #COVID2019 #Covid_19india,Nagaland
170122,14/04/2020,Lockdown extended till May 3rd. Graded relaxation from April 20th. Guidelines to be issued to states tomorrow. We're all in this fight together. #PMModi #IndiaFightsCorona #lockdown,Nagaland
171477,14/04/2020,Lockdown extended till May 3rd. Graded relaxation from April 20th. Guidelines to be issued to states tomorrow. We're all in this fight together. #PMModi #IndiaFightsCorona #lockdown,Nagaland
175214,14/04/2020,Lockdown extended till May 3rd. Graded relaxation from April 20th. Guidelines to be issued to states tomorrow. We're all in this fight together. #PMModi #IndiaFightsCorona #lockdown,Nagaland
178732,15/04/2020,Awareness on Covid-19 Heritage Hall  Zapami Village. 26/3/2020 ,Nagaland
181024,15/04/2020,Awareness on Covid-19 Heritage Hall  Zapami Village. 26/3/2020 ,Nagaland
217087,23/04/2020,Salman sang a new song about corona virus where he raps and I had no idea about it until now!? You gotta be kidding me @BeingSalmanKhan #SalmanKhanOnYouTube #Pyarkarona,Nagaland
226830,23/04/2020,Salman sang a new song about corona virus where he raps and I had no idea about it until now!? You gotta be kidding me @BeingSalmanKhan #SalmanKhanOnYouTube #Pyarkarona,Nagaland
228155,24/04/2020,Hereâs your chance to volunteer for the country! Inviting citizens and organisations to volunteer their services for Nation's fight against the spread of Coronavirus. We can win this fight together! Register now: https://self4society.mygov.in/volunteer/ #IndiaFightsCorona @narendramodi,Nagaland
228156,24/04/2020,#IndiaFightsCorona: Stay at home to prevent spread of #COVID19. Share this information and help us to help you. #HealthForAll #CoronaOutbreak #SwasthaBharat #Lockdown2 @narendramodi @mygovindia @MyGovNagaland,Nagaland
228157,24/04/2020,Heartfelt greetings to the Chakhesang Community of Nagaland on the auspicious occasion of TsÃ¼khenye. May this festival bring peace  good health and give us strength as we fight against the global pandemic #COVID19. #StayHomeStaySafe,Nagaland
228158,24/04/2020,Hereâs your chance to volunteer for the country! Inviting citizens and organisations to volunteer their services for Nation's fight against the spread of Coronavirus. We can win this fight together! Register now: https://self4society.mygov.in/volunteer/ #IndiaFightsCorona @narendramodi,Nagaland
228159,24/04/2020,#IndiaFightsCorona: Stay at home to prevent spread of #COVID19. Share this information and help us to help you. #HealthForAll #CoronaOutbreak #SwasthaBharat #Lockdown2 @narendramodi @mygovindia @MyGovNagaland,Nagaland
241122,25/04/2020,#IndiaFightsCorona: Insurance scheme for health workers fighting #COVID19 under the Pradhan Mantri Garib Kalyan Yojana (PMGKY) https://buff.ly/2JZS4wg #CoronaOutbreak #HealthForAll Insurance coverage for our Health workers - Caring for those who are taking care of the nation.,Nagaland
241123,25/04/2020,#IndiaFightsCorona: Insurance scheme for health workers fighting #COVID19 under the Pradhan Mantri Garib Kalyan Yojana (PMGKY) https://buff.ly/2JZS4wg #CoronaOutbreak #HealthForAll Insurance coverage for our Health workers - Caring for those who are taking care of the nation.,Nagaland
241124,25/04/2020,MyGov launches âSaathiâ Chatbot on http://self4society.mygov.in/ to keep citizens updated with all the latest information  Mythbusters and other related updates about COVID-19. Stay informed  Stay safe! #IndiaFightsCorona @narendramodi @mygovindia @MyGovNagaland @PIBKohima,Nagaland
252874,26/04/2020,#IndiaFightsCorona: Our fight is against #COVID19 not each other. Let us not discriminate. Together we will fight #COVID19. https://buff.ly/2KqTAYz #CoronaOutbreak #SwasthaBharat #Lockdown2 @narendramodi @mygovindia @MyGovNagaland,Nagaland
252875,26/04/2020,BJP Nagaland Govt working in full swing in this time of need by taking proactive measures to combat the COVID-19. While the battle continues  here is a look back. #IndiaFightsCorona #WarRoom #Nagaland (2/2) @narendramodi @mygovindia @MyGovNagaland @BJP4Nagaland @BJP4India,Nagaland
252876,26/04/2020,BJP Nagaland Govt working in full swing in this time of need by taking proactive measures to combat the COVID-19. While the battle continues  here is a look back. #IndiaFightsCorona #WarRoom #Nagaland (1/2) @narendramodi @mygovindia @MyGovNagaland @BJP4Nagaland @BJP4India,Nagaland
252877,26/04/2020,#IndiaFightsCorona: Our fight is against #COVID19 not each other. Let us not discriminate. Together we will fight #COVID19. https://buff.ly/2KqTAYz #CoronaOutbreak #SwasthaBharat #Lockdown2 @narendramodi @mygovindia @MyGovNagaland,Nagaland
260684,26/04/2020,Had a meeting today with the Task Force for COVID-19 of Suruhoto Constituency and had a detail discussion on the step and measures to be taken up to fight the pandemic and how to deal with the effects of the pandemic. @BJP4India @BJP4Nagaland @AlongImna @tovihoto @Neiphiu_Rio,Nagaland
260685,26/04/2020,Also  donated a total of 421 bags of rice to every household and a sum of Rs. 2 20 000/- to Suruhoto town to ease the impact of the lockdown.,Nagaland
260686,26/04/2020,Sir i am permanent resident of bokajan(karbiAnlong) Sir I came to Guwahati before lockdown for treatment of my son of age 3 year old he have hearing http://prblm.Now we are living here at my relatives house.I call 104 for ASTC service but I got no respone.Pls Help me sir,Nagaland
267564,27/04/2020,We're all in the middle of a pandemic. There's no room for any stigma or discrimination. Let's volunteer to fight misinformation  spread health literacy &amp; tackle the COVID-19 together! #IndiaFightsCorona @narendramodi @PIBKohima @MyGovNagaland @mygovindia @PIB_India @BJP4India,Nagaland
267565,27/04/2020,India Post keeps up with the spirit of last mile delivery even during these critical times. #IndiaFightsCorona @narendramodi @MyGovNagaland @mygovindia @BJP4India @IndiaPostOffice @PIBKohima @PIB_India ,Nagaland
276892,27/04/2020,We're all in the middle of a pandemic. There's no room for any stigma or discrimination. Let's volunteer to fight misinformation  spread health literacy & tackle the COVID-19 together! #IndiaFightsCorona @narendramodi @PIBKohima @MyGovNagaland @mygovindia @PIB_India @BJP4India,Nagaland
276893,27/04/2020,Wish the concern department had a little knowledge of Farming that needs to connects a Market chain to supply in assisting the Farmers. #Nagaland #Wokha #FarmersInDistress Lockdown effect: Tomatoes rot in Wokha ,Nagaland
276894,27/04/2020,@anandips04 Sir i am permanent resident of bokajan(karbiAnlong) Sir I came to Guwahati before lockdown for treatment of my son of age 3 year old he have hearing prblm we are living here at my relatives house.I call 104 for ASTC service but I got no respon,Nagaland
291973,28/04/2020,Here is how the Self Help Group (SHG) Didis are leading the fight against the COVID-19 pandemic. #IndiaFightsCorona @MyGovNagaland @BJP4India @PIBKohima @PIB_India @narendramodi,Nagaland
291974,28/04/2020,Ayurveda gives us different ways & measures which can be adopted to strengthen our immunity. It can prove to be a big boost in our fight against COVID-19 Pandemic. #IndiaFightsCorona @narendramodi @MoHFW_INDIA @MyGovNagaland @mygovindia @moayush @BJP4India,Nagaland
291975,28/04/2020,Lifeline UDAN is spearheading the fight against the COVID-19 pandemic. #IndiaFightsCorona https://transformingindia.mygov.in/covid-19/ @narendramodi @MyGovNagaland @mygovindia @PIBKohima @PIB_India @BJP4India,Nagaland
300909,28/04/2020,Here is how the Self Help Group (SHG) Didis are leading the fight against the COVID-19 pandemic. #IndiaFightsCorona @MyGovNagaland @BJP4India @PIBKohima @PIB_India @narendramodi,Nagaland
300910,28/04/2020,Ayurveda gives us different ways & measures which can be adopted to strengthen our immunity. It can prove to be a big boost in our fight against COVID-19 Pandemic. #IndiaFightsCorona @narendramodi @MoHFW_INDIA @MyGovNagaland @mygovindia @moayush @BJP4India,Nagaland
300911,28/04/2020,Lifeline UDAN is spearheading the fight against the COVID-19 pandemic. #IndiaFightsCorona https://transformingindia.mygov.in/covid-19/ @narendramodi @MyGovNagaland @mygovindia @PIBKohima @PIB_India @BJP4India,Nagaland
314492,29/04/2020,Take a look at how the supply of Food grains is gathering momentum amidst COVID-19. #IndiaFightsCorona @narendramodi @MyGovNagaland @mygovindia @BJP4India @PIBKohima @PIB_India ,Nagaland
314493,29/04/2020,India signs $1.5 billion loan with Asian Development Bank to support the governmentâs response to #COVID19Pandemic; focusing on immediate priorities such as disease containment &amp; prevention  as well as social protection for the poor #IndiaFightsCorona https://cutt.ly/3ys5400,Nagaland
