,Tweet Posted Time (UTC),Tweet Content,Tweet Location
3892,12/03/2020,corona virus need not require any more investigation or trial on chemical and bylogical weapons in the world ,Orissa
5627,14/03/2020,classes shall remain suspended till   st march        corona  coronavirus  covid    washyourhands  preventionisbettehancure  bhubaneswar ,Orissa
5628,14/03/2020,classes shall remain suspended till   st march        corona  coronavirus  covid    washyourhands  preventionisbettehancure  bhubaneswar ,Orissa
5753,14/03/2020,classes shall remain suspended till   st march        corona  coronavirus  covid    washyourhands  preventionisbettehancure  bhubaneswar ,Orissa
5754,14/03/2020,classes shall remain suspended till   st march        corona  coronavirus  covid    washyourhands  preventionisbettehancure  bhubaneswar ,Orissa
6832,14/03/2020,classes shall remain suspended till   st march        corona  coronavirus  covid    washyourhands  preventionisbettehancure  bhubaneswar ,Orissa
21205,20/03/2020,drum beating at village level and create awareness on covid   at keredi panchayat  phulbani block ,Orissa
31225,22/03/2020,drum beating for create awareness on covid   at gks level keredi sc  chc gumagarh ,Orissa
99429,01/04/2020,why soyeb jamayi is not arrested as he is more dangerous than coronavirus  and no news channel should invite him as representative of muslim  law enforcing agency take legal action immediately to mentain peace  how using word in tv debate  ,Orissa
103538,01/04/2020,why soyeb jamayi is not arrested as he is more dangerous than coronavirus  and no news channel should invite him as representative of muslim  law enforcing agency take legal action immediately to mentain peace  how using word in tv debate  ,Orissa
127967,06/04/2020,er  ashok samal   kumarjitu   a gita alumnus  working as a solution architect for microsoft  western europe is doing great to ease  covid   tests using ai  please check out the link and the information  odisha    ,Orissa
153688,11/04/2020,     wear mask   stay safe from corona    staysafe  wearmask  covid   ,Orissa
198402,19/04/2020,prof  saqti mohanty has shared his lockdown experience on ,Orissa
200968,19/04/2020,prof  saqti mohanty has shared his lockdown experience on ,Orissa
217087,23/04/2020,ordinance to punish those attacking health workers amid coronavirus pandemic comes into force   news   ,Orissa
224869,23/04/2020, lockdown message from our alumnus sai prasad panda  a budding film director from odisha   bhubaneswar ,Orissa
226830,23/04/2020, lockdown message from our alumnus sai prasad panda  a budding film director from odisha   bhubaneswar ,Orissa
252877,26/04/2020,demise of dr biplaba dasgupta asst director health west bengal out of corona is sad news  india lost covid   warrior  my deep condolence to the immoal sole ,Orissa
322129,29/04/2020,nyabazar  a sta up by our students brings to you free mentorship on soft skills and personality development by professional mentors for two months staing from  nd may so that you can come out of this lockdown    ,Orissa
322130,29/04/2020,song from gupta prasad ghanto  our alumnus a banker working in nashik  to watch his lock down experience with this soul soothing song on strings visit ,Orissa
333393,29/04/2020,nyabazar  a sta up by our students brings to you free mentorship on soft skills and personality development by professional mentors for two months staing from  nd may so that you can come out of this lockdown    ,Orissa
333394,29/04/2020,song from gupta prasad ghanto  our alumnus a banker working in nashik  to watch his lock down experience with this soul soothing song on strings visit ,Orissa
650492,14/05/2020,sneak rescued in kandhamal area  nobelwork  thursdayvibes  lockdown  survivor       ,Orissa
650493,14/05/2020,sir also dialled the toll free no but the automated response is about due to lockdown norms and less no of cust care executives only emergency services like card blocking is available   ,Orissa
682086,17/05/2020, lockdown ride ,Orissa
687731,18/05/2020,i pray to god for speedy recovery to zee news warrior who are affected in coronavirus   zeewarriors,Orissa
693652,19/05/2020,finally tiktok got infected by covid   ,Orissa
763176,31/05/2020,kalinga institute of medical science  kims  also suppos a covid hospital in jiranga and has provided ppe to the health workers  kiitkissfightscovid   with guidance of ,Orissa
763177,31/05/2020, sir set up a     bedded covid hospital at kandhamal district managed by kalinga institute of medical science  kims     kiitkissfightscovid  ,Orissa
763178,31/05/2020, satellite schools in the district of bolangir and mayurbhanj in odisha functioning as covid hospital and quarantine centre for the people of district  yet another great initiative by    kiitkissfightscovid  ,Orissa
763179,31/05/2020,india s first standalone covid hospital is operational with about    critical care and     beds at kalinga institute of medical science  kims   kiitkissfightscovid     ,Orissa
763180,31/05/2020, and   under the leadership of  distribute hygiene products to women and girls  iec material for wider dissemination  set up quarantine facilities and dedicate covid    hospital in the existing infrastructure ,Orissa
763181,31/05/2020, sir set up a     bedded covid hospital at kandhamal district managed by kalinga institute of medical science  kims ,Orissa
763182,31/05/2020,enjoyed the proud moment with recitation of  bande utkala janani   to honour and encourage the covid warriors inside the office premises of ddh  kandhamal  phulbani on            at      pm  ,Orissa
763183,31/05/2020,humans and animals are facing this pandemic together    amp   have been actively taking care of stray animals by providing them with food during entire lockdown period    kiitkissfightscovid    kisscares,Orissa
763184,31/05/2020, and  are feeding thousands during lockdown   kiitkissfightscovid  ,Orissa
763185,31/05/2020,visit ,Orissa
763186,31/05/2020, and  are feeding thousands during lockdown   kiitkissfightscovid  ,Orissa
763187,31/05/2020,kalinga institute of medical science  kims  provides a dedicated team of doctors  nurses  paramedics and housekeeping staff working for the treatment of  covid    kiitkissfightscovid     ,Orissa
763188,31/05/2020, and   under the leadership of  distribute hygiene products to women and girls  iec material for wider dissemination  set up quarantine facilities and dedicate covid    hospital in the existing infrastructure ,Orissa
789499,05/06/2020, where r you sir right now   even we don t see you in last    days covid   press conference,Orissa
809945,09/06/2020,when the bank is going to auto debit the apy monthly installment for the last not debitted months amid lockdown ,Orissa
