Unnamed: 0,Tweet Posted Time (UTC),Tweet Content,Tweet Location
70,01-03-2020,Auto stocks shine of last six month going to in vain...very soon but stick with quality always...#komalsecurities #nse #autosaledown #bse #coronavirus #pms #china #sip #sharemarket #bearmarket #autoslowdown #crisis #marketbloodbath #downtrend,Rajasthan
71,01-03-2020,Big no. #komalsecurities #pms #bombaystockexchange #stockexchange #directmutualfund #regularmutualfund #dividend #stocksplit #bonousshare #coronavirus #china #india #usa #namastetrump https://www.moneycontrol.com/news/business/ipo/sbi-card-ipo-subscription-to-begin-on-march-2-should-you-subscribe-4988181.html via @moneycontrolcom,Rajasthan
214,02-03-2020,If coronavirus can be eradicated by soundbites.....he's done a wonderful job so far. Mouth no trousers. ,Rajasthan
523,03-03-2020,I'm not worried about that we all will die together coz of #coronavirus. I'm just wondering about 'what will happen if me and my parents get to watch my paap wala flashback journey together featuring Yamraj' ???,Rajasthan
524,03-03-2020,#coronavirusindia Indian government should cancel all international flights as precautionary measure for some days.Corona Virus epidemic is serious matter and its spreading should be stopped at any cost. Har Har Mahadev @narendramodi @PMOIndia,Rajasthan
525,03-03-2020,Corona virus epidemic is serious and its spreading in India  take it seriously. A ) Be cautious not 2 go at over crowded place B ) Don't shake hands C ) Be at home  else necessary to go out D) Any symptoms of fever   cold or cough Please consult Doctor Har Har Mahadev,Rajasthan
526,03-03-2020,What countries have been affected by the novel coronavirus known as COVID-19? How many cases are there in China? https://infographics.channelnewsasia.com/covid-19/map.html via @ChannelNewsAsia,Rajasthan
527,03-03-2020,Dear world  Let unite against #coronavirus and avoid handshake and start a new trend of #Namaste #CoronaOutbreak #coronavirusindia,Rajasthan
1030,04-03-2020,#à¤à¥à¤°à¥à¤¨à¤¾à¤µà¤¾à¤¯à¤°à¤¸ à¤¸à¥ à¤¬à¤à¤¨à¥ à¤à¥ 5 #à¤à¤ªà¤¾à¤¯ How to avoid #coronavirus must watch this video and maximum share this video... #AdoptVedicHoliPreventCorona #CoronaAlert #coronavirusinindia #Coronavirushyderabad #AnilThakurOfficial #dearanilthakur #Covid_19 #COVID2019 #COVID #WHO #healthcare â at Amer Fort,Rajasthan
1031,04-03-2020,Hotel Ramada  Jaipur 50 people put under surveillance as they came in contact with #ItalianTourists who tested positive for #coronavirus #coronavirusindia #coronaoutbreak #hotelramada #Jaipur #Rajasthan,Rajasthan
