,Tweet Posted Time (UTC),Tweet Content,Tweet Location
6596,14/03/2020,A special gram sabha was held by 24th Turuk Ramabong GPU on 14/3/20 regarding awareness on COVID 19 to general public of all wards Nodal teachers from all schools and students Members of NGO  members of Turuk development society ex-panchayats and also retired members of the GPU. ,Sikkim
6950,14/03/2020,A special gram sabha was held by 24th Turuk Ramabong GPU on 14/3/20 regarding awareness on COVID 19 to general public of all wards Nodal teachers from all schools and students Members of NGO  members of Turuk development society ex-panchayats and also retired members of the GPU. ,Sikkim
10548,16/03/2020,Awareness programme on COVID 19 followed by health screening of senior citizen along with ward panchayats. #sikkimfightingagainstcoronavirus #protectingourlovedones #MondayMotivation,Sikkim
10928,16/03/2020,Awareness programme on COVID 19 followed by health screening of senior citizen along with ward panchayats. #sikkimfightingagainstcoronavirus #protectingourlovedones #MondayMotivation,Sikkim
34774,22/03/2020,Virus in there minds are potentially far more dangerous than Covid 19.,Sikkim
38081,22/03/2020,Virus in there minds are potentially far more dangerous than Covid 19.,Sikkim
48072,24/03/2020,WORLD T.B celebrated at hee yangthang Health and wellness centre along with awarness on corona virus followed by handwashing demonstration by ASHA worker #sikkimgovernment #healthandwellnesscentre #primarylevelprevention #CHO,Sikkim
50603,24/03/2020,Look at the data of worldwide Covid 19 cases . Today 38k new cases and over 2000 dead. #21daylockdown,Sikkim
54324,24/03/2020,WORLD T.B celebrated at hee yangthang Health and wellness centre along with awarness on corona virus followed by handwashing demonstration by ASHA worker #sikkimgovernment #healthandwellnesscentre #primarylevelprevention #CHO,Sikkim
54325,24/03/2020,Look at the data of worldwide Covid 19 cases . Today 38k new cases and over 2000 dead. #21daylockdown,Sikkim
76368,28/03/2020,A small help from my side Sir @narendramodi. Your efforts to resolve this grave situation will forever be remembered in history. I further urge my friends to please donate to #PMCaresFund #pmcares. Whatever small amount will help. #IndiaFightsCorona. ,Sikkim
84762,29/03/2020,They should be in lockupâs not in lockdown .,Sikkim
84763,29/03/2020,Sikkim Lockdown..,Sikkim
87177,29/03/2020,They should be in lockupâs not in lockdown .,Sikkim
87178,29/03/2020,Sikkim Lockdown..,Sikkim
90450,30/03/2020,#COVID2019india #COVID #COVID19outbreak Please help the doctors in Mon District of Nagaland @NSUINagaland,Sikkim
92702,30/03/2020,#COVID2019india #COVID #COVID19outbreak Please help the doctors in Mon District of Nagaland @NSUINagaland,Sikkim
96046,31/03/2020,@narendramodi @BJP4India What will the government do if the scene at the end of lockdown be more chaotic??? Another lockdown???,Sikkim
97683,31/03/2020,@narendramodi @BJP4India What will the government do if the scene at the end of lockdown be more chaotic??? Another lockdown???,Sikkim
100842,01/04/2020,Prayer Wheels holds a significant rank in #buddhism. Inscription on the wheel is Om Mane Padme Hum! Did you know spinning the wheel signifies the same effect of chanting the #mantras or #hymns orally? #travel #WednesdayMotivation #lockdown #sikkim #StaySafe #StayAtHome,Sikkim
103710,01/04/2020,Prayer Wheels holds a significant rank in #buddhism. Inscription on the wheel is Om Mane Padme Hum! Did you know spinning the wheel signifies the same effect of chanting the #mantras or #hymns orally? #travel #WednesdayMotivation #lockdown #sikkim #StaySafe #StayAtHome,Sikkim
106558,02/04/2020,Liberal rant on lathi charge during lockdown but they are fine when doctor has been kathi charged,Sikkim
109551,02/04/2020,Liberal rant on lathi charge during lockdown but they are fine when doctor has been kathi charged,Sikkim
116711,04/04/2020,This means that Tablighi can give a free ride to Coronavirus in India and modern Muslims defend them. #BeingAMuslimInIndia,Sikkim
120150,04/04/2020,This means that Tablighi can give a free ride to Coronavirus in India and modern Muslims defend them. #BeingAMuslimInIndia,Sikkim
133245,07/04/2020,Is Government of Sikkim has any plan/provision to set up the laboratory test for coronavirus???? @drharshvardhan @Governor_Sikkim @GolayPs @IndraHangSubba1 @dbchauhanbjp,Sikkim
134587,07/04/2020,Close your eyes and listen to Buddha. #StayAtHome #StayHomeStaySafe #quarantine #lockdown #PositiveVibes #meditation #PhotoOfTheDay #photographers_of_india #TuesdayThoughts #Twitter #WorldHealthDay2020 @Canon_India @incredibleindia @Twitter @TwitterRetweets @TwitterIndia,Sikkim
137128,07/04/2020,Is Government of Sikkim has any plan/provision to set up the laboratory test for coronavirus???? @drharshvardhan @Governor_Sikkim @GolayPs @IndraHangSubba1 @dbchauhanbjp,Sikkim
137129,07/04/2020,Close your eyes and listen to Buddha. #StayAtHome #StayHomeStaySafe #quarantine #lockdown #PositiveVibes #meditation #PhotoOfTheDay #photographers_of_india #TuesdayThoughts #Twitter #WorldHealthDay2020 @Canon_India @incredibleindia @Twitter @TwitterRetweets @TwitterIndia,Sikkim
139800,08/04/2020,If it can help us to protect ourselves  my family our society and my nation than I'm ready to support lockdown n stayhome for few weeks. ,Sikkim
139801,08/04/2020,à¤¸à¤°à¥à¤µà¤¨à¤¾à¤¶à¥ à¤¸à¤®à¥à¤¤à¥à¤ªà¤¨à¥à¤¨à¥ à¤¹à¥à¤¯à¤°à¥à¤§à¤ à¤¤à¥à¤¯à¤à¤¤à¤¿ à¤ªà¤£à¥à¤¡à¤¿à¤¤à¤ (When complete distruction is imminent  a wise man will ready to lose half  inorder to protect remaining half). I support #KCR sir to extend the #LockDown to protect #Lives of People at the cost of loss of #Economy @KTRTRS @TelanganaCMO,Sikkim
142418,08/04/2020,If it can help us to protect ourselves  my family our society and my nation than I'm ready to support lockdown n stayhome for few weeks. ,Sikkim
