,Tweet Posted Time (UTC),Tweet Content,Tweet Location
6809,14/03/2020,Hope India will work on similar ground. #COVID19india #COVIDã¼19 #covid #Corona,Telangana
7138,14/03/2020,Sir iam Danam Akshith . Iam from telangana state of warangal. Landmark  At kothawada pin;506002 Sir my opinion is that   mainly first we need to cessation the fights  from out of our neighborhood countries ..This is most helpful to abandon Kovid 19 ~corona virus,Telangana
7139,14/03/2020,1994 Surat plague has many lessons for India on how to beat coronavirus @TelanganaCMO @KTRTRS #coronavirusindia,Telangana
7140,14/03/2020,Rajadhani trains are also affected. People are less preferring AC coaches. #COVID19india #coronavirus,Telangana
7141,14/03/2020,Hope India will work on similar ground. #COVID19india #COVIDã¼19 #covid #Corona,Telangana
8691,15/03/2020,Thermal scanning & not having temperature or no symptoms of cough will not guarantee for the absence of #COVIDã¼19 . May develop after few days  #Corona is having long incubation period. Take care. #Covid #CoronaVirusUpdates #GoCorona #coronavirus,Telangana
8692,15/03/2020,RT this video till it reaches abode of the 'Prabhu'. #Coronaindia #COVID19india #Corona #COVIDã¼19 #COVID ,Telangana
8693,15/03/2020,Coronavirus Outbreak: For Marriages In Hall with large gatherings cancelled  many marriages may solemnizes now in Temples. #COVIDã¼19 #Coronaindia #coronavirus #COVID19 #Covid Video âºhttps://youtu.be/fjqk9PE7XVQ #CoronavirusOutbreak #Marriage #Temples #KannadaNews #Tv9Kannada,Telangana
9024,15/03/2020,If positive cases are more  handling will be difficult in India due to many factors  one of the factors is ventilator support at hospital. #coronavirus #COVIDã¼19 #COVID19india #COVID19,Telangana
9025,15/03/2020,Thermal scanning & not having temperature or no symptoms of cough will not guarantee for the absence of #COVIDã¼19 . May develop after few days  #Corona is having long incubation period. Take care. #Covid #CoronaVirusUpdates #GoCorona #coronavirus,Telangana
9026,15/03/2020,Coronavirus Outbreak: For Marriages In Hall with large gatherings cancelled  many marriages may solemnizes now in Temples. #COVIDã¼19 #Coronaindia #coronavirus #COVID19 #Covid Video âºhttps://youtu.be/fjqk9PE7XVQ #CoronavirusOutbreak #Marriage #Temples #KannadaNews #Tv9Kannada,Telangana
