,Tweet Posted Time (UTC),Tweet Content,Tweet Location
2735,09/03/2020,How to handrub? Use alcohol-based handrub for 20-30 seconds #COVID19 #Bangladesh World Health Organization (@WHO),Tripura
2736,09/03/2020,How to handwash? Use and water for at least 40-60 seconds World Health Organization (@WHO) #COVID19 #Bangladesh,Tripura
2739,09/03/2020,How to handrub? Use alcohol-based handrub for 20-30 seconds #COVID19 #Bangladesh World Health Organization (@WHO),Tripura
2740,09/03/2020,How to handwash? Use and water for at least 40-60 seconds World Health Organization (@WHO) #COVID19 #Bangladesh,Tripura
4831,13/03/2020,@covid19 All countries ,Tripura
4846,13/03/2020,@covid19 All countries ,Tripura
9563,16/03/2020,Coronavirus should be punished as punishment for Narendra Modi  who had forgotten the biggest contribution of Muslims to the victory of India that stood at the base of India. ,Tripura
9578,16/03/2020,Coronavirus should be punished as punishment for Narendra Modi  who had forgotten the biggest contribution of Muslims to the victory of India that stood at the base of India. ,Tripura
10930,16/03/2020,Coronavirus should be punished as punishment for Narendra Modi  who had forgotten the biggest contribution of Muslims to the victory of India that stood at the base of India. ,Tripura
10945,16/03/2020,Coronavirus should be punished as punishment for Narendra Modi  who had forgotten the biggest contribution of Muslims to the victory of India that stood at the base of India. ,Tripura
14389,18/03/2020,#Vaccine #Corona_virus BBC News - Coronavirus: Cambridge scientists race for a vaccine ,Tripura
14390,18/03/2020,Indian restaurant to offer free meals to the north-east's needy in coronavirus isolationâ¦ https://www.pressandjournal.co.uk/fp/news/aberdeen/2080294/indian-restaurant-to-offer-free-meals-to-the-north-easts-needy-in-coronavirus-isolation/?utm_source=twitter via @pressjournal,Tripura
14404,18/03/2020,#Vaccine #Corona_virus BBC News - Coronavirus: Cambridge scientists race for a vaccine ,Tripura
14405,18/03/2020,Indian restaurant to offer free meals to the north-east's needy in coronavirus isolationâ¦ https://www.pressandjournal.co.uk/fp/news/aberdeen/2080294/indian-restaurant-to-offer-free-meals-to-the-north-easts-needy-in-coronavirus-isolation/?utm_source=twitter via @pressjournal,Tripura
16081,18/03/2020,#Vaccine #Corona_virus BBC News - Coronavirus: Cambridge scientists race for a vaccine ,Tripura
16082,18/03/2020,Indian restaurant to offer free meals to the north-east's needy in coronavirus isolationâ¦ https://www.pressandjournal.co.uk/fp/news/aberdeen/2080294/indian-restaurant-to-offer-free-meals-to-the-north-easts-needy-in-coronavirus-isolation/?utm_source=twitter via @pressjournal,Tripura
16101,18/03/2020,#Vaccine #Corona_virus BBC News - Coronavirus: Cambridge scientists race for a vaccine ,Tripura
16102,18/03/2020,Indian restaurant to offer free meals to the north-east's needy in coronavirus isolationâ¦ https://www.pressandjournal.co.uk/fp/news/aberdeen/2080294/indian-restaurant-to-offer-free-meals-to-the-north-easts-needy-in-coronavirus-isolation/?utm_source=twitter via @pressjournal,Tripura
17056,19/03/2020,A baby Infected with Corona virus in Wuhan China ,Tripura
17100,19/03/2020,A baby Infected with Corona virus in Wuhan China ,Tripura
19899,19/03/2020,A baby Infected with Corona virus in Wuhan China ,Tripura
19934,19/03/2020,A baby Infected with Corona virus in Wuhan China ,Tripura
21329,20/03/2020,Guys be careful this time! #COVID19 #Covid_19 #Covid19InSA #QuarentineLife #WeAreFightingCorona #CoronaVirusUpdate,Tripura
21330,20/03/2020,Allah hrlp forgive us. Please help us. Save us from the #COVID19 ,Tripura
21392,20/03/2020,Guys be careful this time! #COVID19 #Covid_19 #Covid19InSA #QuarentineLife #WeAreFightingCorona #CoronaVirusUpdate,Tripura
21393,20/03/2020,Allah hrlp forgive us. Please help us. Save us from the #COVID19 ,Tripura
22991,20/03/2020,Guys be careful this time! #COVID19 #Covid_19 #Covid19InSA #QuarentineLife #WeAreFightingCorona #CoronaVirusUpdate,Tripura
23020,20/03/2020,Guys be careful this time! #COVID19 #Covid_19 #Covid19InSA #QuarentineLife #WeAreFightingCorona #CoronaVirusUpdate,Tripura
24028,20/03/2020,Guys be careful this time! #COVID19 #Covid_19 #Covid19InSA #QuarentineLife #WeAreFightingCorona #CoronaVirusUpdate,Tripura
24087,20/03/2020,Guys be careful this time! #COVID19 #Covid_19 #Covid19InSA #QuarentineLife #WeAreFightingCorona #CoronaVirusUpdate,Tripura
40907,23/03/2020,Assalamu Alaikum  We do not need to be so scared that we are terrified of the Corona virus. We think that the only antidote to this disease is with Allah. We ask for protection from Him and we pray to Allah for all of us in a concerted effort to be better than the virus. ,Tripura
40965,23/03/2020,Assalamu Alaikum  We do not need to be so scared that we are terrified of the Corona virus. We think that the only antidote to this disease is with Allah. We ask for protection from Him and we pray to Allah for all of us in a concerted effort to be better than the virus. ,Tripura
45878,23/03/2020,Assalamu Alaikum  We do not need to be so scared that we are terrified of the Corona virus. We think that the only antidote to this disease is with Allah. We ask for protection from Him and we pray to Allah for all of us in a concerted effort to be better than the virus. ,Tripura
45952,23/03/2020,Assalamu Alaikum  We do not need to be so scared that we are terrified of the Corona virus. We think that the only antidote to this disease is with Allah. We ask for protection from Him and we pray to Allah for all of us in a concerted effort to be better than the virus. ,Tripura
70395,27/03/2020,Last year at this time we were exited about @avengers_endgame This year we are in Endgame..F**king Corona virus,Tripura
70470,27/03/2020,Last year at this time we were exited about @avengers_endgame This year we are in Endgame..F**king Corona virus,Tripura
74462,27/03/2020,Last year at this time we were exited about @avengers_endgame This year we are in Endgame..F**king Corona virus,Tripura
74562,27/03/2020,Last year at this time we were exited about @avengers_endgame This year we are in Endgame..F**king Corona virus,Tripura
84777,29/03/2020,Hello sir I have small request to you   please arrange a check post to check the temperature of ppl who r still going outside   because according to my perception   beating ppl n controlling the system  this is not the way to find covid patient or fight with covid 19 virus .,Tripura
84835,29/03/2020,Hello sir I have small request to you   please arrange a check post to check the temperature of ppl who r still going outside   because according to my perception   beating ppl n controlling the system  this is not the way to find covid patient or fight with covid 19 virus .,Tripura
87202,29/03/2020,Hello sir I have small request to you   please arrange a check post to check the temperature of ppl who r still going outside   because according to my perception   beating ppl n controlling the system  this is not the way to find covid patient or fight with covid 19 virus .,Tripura
87293,29/03/2020,Hello sir I have small request to you   please arrange a check post to check the temperature of ppl who r still going outside   because according to my perception   beating ppl n controlling the system  this is not the way to find covid patient or fight with covid 19 virus .,Tripura
89069,30/03/2020,Little inspiration for kids to practice hand washing.... In an area very rural to me. Then I was sharing some information about #coronavirus Nots: This Post Inspire Each People !!! ,Tripura
89123,30/03/2020,Little inspiration for kids to practice hand washing.... In an area very rural to me. Then I was sharing some information about #coronavirus Nots: This Post Inspire Each People !!! ,Tripura
92712,30/03/2020,Little inspiration for kids to practice hand washing.... In an area very rural to me. Then I was sharing some information about #coronavirus Nots: This Post Inspire Each People !!! ,Tripura
92782,30/03/2020,Little inspiration for kids to practice hand washing.... In an area very rural to me. Then I was sharing some information about #coronavirus Nots: This Post Inspire Each People !!! ,Tripura
99535,01/04/2020,Bangladesh Awami League ministers say they have the power to stop the Corona virus. shala's head has become bad ,Tripura
99536,01/04/2020,In many upazila of Bangladesh  the Prime Minister has not reached financial support. I specifically request for every Upazila  Union  ward to access all equipment for combating coronavirus with food. Thanks.,Tripura
99569,01/04/2020,Bangladesh Awami League ministers say they have the power to stop the Corona virus. shala's head has become bad ,Tripura
99570,01/04/2020,In many upazila of Bangladesh  the Prime Minister has not reached financial support. I specifically request for every Upazila  Union  ward to access all equipment for combating coronavirus with food. Thanks.,Tripura
100855,01/04/2020,Guys please listen to me  please pray to Allah for removing covid-19 Cause without Allah its become impossible for us to remove covid-19. So it is high time to pray to Allah If we pray together  Allah will listen us.,Tripura
100856,01/04/2020,Bangladesh: End Wave of COVID-19 âRumorâ Arrests ,Tripura
100897,01/04/2020,Guys please listen to me  please pray to Allah for removing covid-19 Cause without Allah its become impossible for us to remove covid-19. So it is high time to pray to Allah If we pray together  Allah will listen us.,Tripura
100898,01/04/2020,Bangladesh: End Wave of COVID-19 âRumorâ Arrests ,Tripura
103729,01/04/2020,Bangladesh Awami League ministers say they have the power to stop the Corona virus. shala's head has become bad ,Tripura
103730,01/04/2020,In many upazila of Bangladesh  the Prime Minister has not reached financial support. I specifically request for every Upazila  Union  ward to access all equipment for combating coronavirus with food. Thanks.,Tripura
103731,01/04/2020,Guys please listen to me  please pray to Allah for removing covid-19 Cause without Allah its become impossible for us to remove covid-19. So it is high time to pray to Allah If we pray together  Allah will listen us.,Tripura
103732,01/04/2020,Bangladesh: End Wave of COVID-19 âRumorâ Arrests ,Tripura
103791,01/04/2020,Bangladesh Awami League ministers say they have the power to stop the Corona virus. shala's head has become bad ,Tripura
103792,01/04/2020,In many upazila of Bangladesh  the Prime Minister has not reached financial support. I specifically request for every Upazila  Union  ward to access all equipment for combating coronavirus with food. Thanks.,Tripura
103793,01/04/2020,Guys please listen to me  please pray to Allah for removing covid-19 Cause without Allah its become impossible for us to remove covid-19. So it is high time to pray to Allah If we pray together  Allah will listen us.,Tripura
103794,01/04/2020,Bangladesh: End Wave of COVID-19 âRumorâ Arrests ,Tripura
